model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
gpt-5.1,41,0,1,1,1,0.9201
gpt-5.1,41,1,1,1,1,1.0244
gpt-5.1,41,2,1,1,1,1.0537
gpt-5.1,42,0,0,1,1,0.9493
gpt-5.1,42,1,0,1,1,1.2722
gpt-5.1,42,2,0,1,1,2.6638
gpt-5.1,43,0,1,1,1,0.9682
gpt-5.1,43,1,1,1,1,1.1812
gpt-5.1,43,2,1,1,1,0.9207
gpt-5.1,44,0,0,1,1,1.5089
gpt-5.1,44,1,0,1,1,1.1565
gpt-5.1,44,2,0,1,1,1.0219
gpt-5.1,45,0,0,1,1,1.1259
gpt-5.1,45,1,0,1,1,0.9208
gpt-5.1,45,2,0,1,1,1.3349
gpt-5.1,46,0,1,1,1,0.9186
gpt-5.1,46,1,1,1,1,0.9216
gpt-5.1,46,2,1,1,1,0.9201
gpt-5.1,47,0,0,1,1,0.9227
gpt-5.1,47,1,0,1,1,1.1257
gpt-5.1,47,2,0,1,1,1.0208
gpt-5.1,48,0,1,1,1,0.8795
gpt-5.1,48,1,1,1,1,1.2328
gpt-5.1,48,2,1,1,1,0.7582
gpt-5.1,49,0,1,1,1,0.8214
gpt-5.1,49,1,1,1,1,0.9186
gpt-5.1,49,2,1,1,1,0.9182
gpt-5.1,50,0,0,1,1,1.0263
gpt-5.1,50,1,0,1,1,1.3339
gpt-5.1,50,2,0,1,1,1.2464
gpt-5.1,51,0,1,1,1,1.3115
gpt-5.1,51,1,1,1,1,0.9225
gpt-5.1,51,2,1,1,1,1.2259
gpt-5.1,52,0,1,1,1,1.3316
gpt-5.1,52,1,1,1,1,1.2300
gpt-5.1,52,2,1,1,1,0.9235
gpt-5.1,53,0,1,0,1,1.1210
gpt-5.1,53,1,1,0,1,0.8889
gpt-5.1,53,2,1,0,1,0.8526
gpt-5.1,54,0,1,1,1,1.0245
gpt-5.1,54,1,1,1,1,1.0416
gpt-5.1,54,2,1,1,1,0.9044
gpt-5.1,55,0,1,1,1,0.7245
gpt-5.1,55,1,1,1,1,0.9380
gpt-5.1,55,2,1,1,1,1.4412
gpt-5.1,56,0,1,1,1,1.0942
gpt-5.1,56,1,1,1,1,0.9205
gpt-5.1,56,2,1,1,1,0.9217
gpt-5.1,57,0,1,1,1,0.8073
gpt-5.1,57,1,1,1,1,1.0356
gpt-5.1,57,2,1,1,1,1.1267
gpt-5.1,58,0,1,1,1,1.0242
gpt-5.1,58,1,1,1,1,1.1248
gpt-5.1,58,2,0,1,1,0.9235
gpt-5.1,59,0,1,1,1,1.0235
gpt-5.1,59,1,1,1,1,1.1247
gpt-5.1,59,2,1,1,1,0.8190
gpt-5.1,60,0,1,1,1,1.0250
gpt-5.1,60,1,1,1,1,1.2252
gpt-5.1,60,2,1,1,1,0.8213
gpt-5.1,61,0,1,0,1,1.2279
gpt-5.1,61,1,1,0,1,1.0077
gpt-5.1,61,2,1,0,1,1.0407
gpt-5.1,62,0,1,0,1,0.9221
gpt-5.1,62,1,1,0,1,0.9208
gpt-5.1,62,2,1,0,1,1.1254
gpt-5.1,63,0,1,0,1,1.7398
gpt-5.1,63,1,1,0,1,0.8499
gpt-5.1,63,2,1,0,1,0.8916
gpt-5.1,64,0,1,1,1,1.1267
gpt-5.1,64,1,1,1,1,0.8172
gpt-5.1,64,2,1,1,1,0.9225
gpt-5.1,65,0,1,1,1,0.9236
gpt-5.1,65,1,1,1,1,1.4317
gpt-5.1,65,2,1,1,1,1.1284
gpt-5.1,66,0,1,0,1,1.8408
gpt-5.1,66,1,1,0,1,1.1016
gpt-5.1,66,2,1,0,1,1.0041
gpt-5.1,67,0,1,0,1,1.0538
gpt-5.1,67,1,1,0,1,0.9842
gpt-5.1,67,2,1,0,1,0.9736
gpt-5.1,68,0,1,0,1,1.0659
gpt-5.1,68,1,1,0,1,1.0852
gpt-5.1,68,2,1,0,1,1.1260
gpt-5.1,69,0,1,0,1,1.2470
gpt-5.1,69,1,1,0,1,1.0060
gpt-5.1,69,2,1,0,1,0.9203
gpt-5.1,70,0,1,0,1,1.0314
gpt-5.1,70,1,1,0,1,1.4260
gpt-5.1,70,2,1,0,1,1.0346
gpt-5.1,71,0,1,0,1,1.2706
gpt-5.1,71,1,1,0,1,0.9707
gpt-5.1,71,2,1,0,1,1.3340
gpt-5.1,72,0,1,0,1,1.0227
gpt-5.1,72,1,1,0,1,0.9650
gpt-5.1,72,2,1,0,1,1.0814
gpt-5.1,73,0,1,0,1,1.0245
gpt-5.1,73,1,1,0,1,1.0270
gpt-5.1,73,2,1,0,1,0.9169
gpt-5.1,74,0,1,1,1,1.1199
gpt-5.1,74,1,1,1,1,0.8270
gpt-5.1,74,2,1,1,1,0.8179
gpt-5.1,75,0,1,0,1,1.2302
gpt-5.1,75,1,1,0,1,0.8184
gpt-5.1,75,2,1,0,1,1.1255
gpt-5.1,76,0,0,0,1,1.0245
gpt-5.1,76,1,0,0,1,0.8187
gpt-5.1,76,2,0,0,1,1.1260
gpt-5.1,77,0,1,0,1,1.3327
gpt-5.1,77,1,1,0,1,1.5449
gpt-5.1,77,2,1,0,1,0.7058
gpt-5.1,78,0,1,0,1,0.8984
gpt-5.1,78,1,1,0,1,0.9456
gpt-5.1,78,2,1,0,1,0.8297
gpt-5.1,79,0,1,0,1,0.7046
gpt-5.1,79,1,1,0,1,1.1262
gpt-5.1,79,2,1,0,1,1.3323
gpt-5.1,80,0,1,0,1,2.2766
gpt-5.1,80,1,1,1,1,0.9541
gpt-5.1,80,2,1,1,1,0.9666
