ts,node_id,gpu_index,gpu_util,power_w,mem_used_mb,mem_total_mb
2026-01-11 01:03:36,node_8001,0,0.0,10.475,0.0,0.0
2026-01-11 01:03:37,node_8001,0,0.0,10.475,0.0,0.0
2026-01-11 01:03:37,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:37,node_8303,0,0.0,15.846,0.0,0.0
2026-01-11 01:03:40,node_8303,0,0.0,15.846,0.0,0.0
2026-01-11 01:03:40,node_8301,0,0.0,17.234,0.0,0.0
2026-01-11 01:03:40,node_8303,0,0.0,15.846,0.0,0.0
2026-01-11 01:03:40,node_8301,0,0.0,17.234,0.0,0.0
2026-01-11 01:03:40,node_8302,0,0.0,18.563,0.0,0.0
2026-01-11 01:03:41,node_8001,0,0.0,10.475,0.0,0.0
2026-01-11 01:03:41,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8003,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8303,0,0.0,15.846,0.0,0.0
2026-01-11 01:03:41,node_8301,0,0.0,17.234,0.0,0.0
2026-01-11 01:03:41,node_8302,0,0.0,18.563,0.0,0.0
2026-01-11 01:03:41,node_8304,0,0.0,16.268,0.0,0.0
2026-01-11 01:03:41,node_8001,0,0.0,10.475,0.0,0.0
2026-01-11 01:03:41,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8003,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8004,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8001,0,0.0,10.574,0.0,0.0
2026-01-11 01:03:41,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8003,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:41,node_8004,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:42,node_8001,0,0.0,10.574,0.0,0.0
2026-01-11 01:03:42,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:42,node_8003,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:42,node_8004,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:42,node_8303,0,0.0,15.884,0.0,0.0
2026-01-11 01:03:42,node_8301,0,0.0,17.234,0.0,0.0
2026-01-11 01:03:42,node_8302,0,0.0,18.563,0.0,0.0
2026-01-11 01:03:42,node_8304,0,0.0,16.268,0.0,0.0
2026-01-11 01:03:45,node_8303,0,0.0,15.884,0.0,0.0
2026-01-11 01:03:45,node_8301,0,0.0,17.25,0.0,0.0
2026-01-11 01:03:45,node_8302,0,0.0,18.563,0.0,0.0
2026-01-11 01:03:45,node_8304,0,0.0,16.268,0.0,0.0
2026-01-11 01:03:46,node_8303,0,0.0,15.884,0.0,0.0
2026-01-11 01:03:46,node_8301,0,0.0,17.25,0.0,0.0
2026-01-11 01:03:46,node_8302,0,0.0,18.444,0.0,0.0
2026-01-11 01:03:46,node_8304,0,0.0,16.268,0.0,0.0
2026-01-11 01:03:46,node_8001,0,0.0,10.574,0.0,0.0
2026-01-11 01:03:46,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:46,node_8003,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:46,node_8004,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:46,node_8303,0,0.0,15.884,0.0,0.0
2026-01-11 01:03:46,node_8301,0,0.0,17.25,0.0,0.0
2026-01-11 01:03:46,node_8302,0,0.0,18.444,0.0,0.0
2026-01-11 01:03:46,node_8304,0,0.0,16.304,0.0,0.0
2026-01-11 01:03:46,node_8001,0,0.0,10.574,0.0,0.0
2026-01-11 01:03:46,node_8002,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:46,node_8003,0,0.0,0.0,0.0,0.0
2026-01-11 01:03:46,node_8004,0,0.0,0.0,0.0,0.0
