csv_path,run,cluster,gpu_count,dt_col_used,jct_sec,jct_min,cost_usd,gpu_seconds,power_mode_used,power_available,power_fill_mode,power_fill_w,power_measured_epochs,power_missing_epochs,energy_wh_total,energy_wh_per_gpu,edp,ed2p,final_accuracy,final_top5_accuracy
.\clusterA_node-1\1nodes_TinyImageNet_Densenet121_163.180.117.216_36260_rank0.csv,clusterA_node-1/1nodes_TinyImageNet_Densenet121_163.180.117.216_36260_rank0.csv,clusterA,1,epoch_power_dt_sec,5640.072633504868,94.00121055841446,1.566686842640241,5640.072633504868,per_gpu,True,warmup_mean,166.80564999999999,20,0,261.3345350210313,261.3345350210313,1473945.7591618379,8313161139.519238,55.37,79.72
.\clusterA_node-2\2nodes_TinyImageNet_Densenet121_163.180.117.216_36267_rank0.csv,clusterA_node-2/2nodes_TinyImageNet_Densenet121_163.180.117.216_36267_rank0.csv,clusterA,2,epoch_power_dt_sec,3422.799105167389,57.04665175278981,1.9015550584263272,6845.598210334778,per_gpu,True,warmup_mean,162.10590000000002,20,0,308.25270436837843,154.12635218418922,1055087.0806775133,3611351115.6166654,56.16,79.52
.\clusterB_node-1\1nodes_TinyImageNet_Densenet121_163.180.160.59_36260_rank0.csv,clusterB_node-1/1nodes_TinyImageNet_Densenet121_163.180.160.59_36260_rank0.csv,clusterB,1,epoch_power_dt_sec,6381.749362230301,106.36248937050502,2.6590622342626253,6381.749362230301,per_gpu,True,warmup_mean,212.30624341404283,20,0,376.3406763889061,376.3406763889061,2401711.8715262217,15327123204.373407,54.91,79.23
.\clusterB_node-2\2nodes_TinyImageNet_Densenet121_163.180.160.59_36260_rank0.csv,clusterB_node-2/2nodes_TinyImageNet_Densenet121_163.180.160.59_36260_rank0.csv,clusterB,2,epoch_power_dt_sec,3309.636969089508,55.1606161514918,2.75803080757459,6619.273938179016,per_gpu,True,warmup_mean,208.5030399795864,20,0,383.3668538886309,191.68342694431544,1268805.1123533486,4199284306.4144096,54.88,79.94
