epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss,epoch_power_dt_sec,gpu_power_w,cpu_power_w
1,2,123.35052919387817,4.503968715667725,128.13950181007385,16.7,4418.294272,2234.949632,0.0,58.0,26.583789875002463,12.2875424915017,32.37352529494101,0.09712070226669312,,0.3333333333333333,64,5,0.0010777124575084983,,4.62643,4.097741779769046,4.619509641057179,4.056505007592231,128.13920259475708,,
2,2,124.63907551765442,4.120060443878174,128.8475902080536,14.4,237.75744,2754.654208,0.0,58.0,1.4305280357248475,18.33633273345331,42.03159368126375,0.15568795800209045,,0.3333333333333333,64,4,0.0010716636672665467,,4.0549290625,3.7207050777344532,4.063265453440931,3.6663685817523994,128.84725880622864,,
3,2,124.52732968330383,4.046581506729126,128.68850588798523,16.0,226.731008,2795.667456,0.0,61.0,1.3641847065318113,24.60507898420316,50.4499100179964,0.22821329534053802,,0.3333333333333333,64,4,0.001065394921015797,,3.676805625,3.3484978785492903,3.6776245725085497,3.29009090759973,128.68820452690125,,
4,2,127.38777661323547,4.123128890991211,131.63000869750977,16.0,5827.87328,2756.845568,0.0,60.0,35.06488005461249,30.133973205358927,57.21855628874225,0.28255152702331543,,0.3333333333333333,64,4,0.0010598660267946412,,3.3895896875,3.0118234165666866,3.387698183536329,2.9223442420890824,131.62970447540283,,
5,2,125.9042615890503,3.802253484725952,130.12766647338867,10.3,243.1616,2757.279744,0.0,49.0,1.4630435371936672,34.40311937612478,61.65766846630674,0.33038046956062317,,0.3333333333333333,64,4,0.0010555968806238753,,3.1722240625,2.8005898820235955,3.1640381254874903,2.7413310306688663,130.12737607955933,,
6,2,122.91089487075806,3.8396553993225098,127.01262378692627,10.7,214.345728,2758.885376,0.0,33.0,1.2896655231560892,36.5626874625075,64.26714657068587,0.3541983962059021,,0.3333333333333333,64,4,0.0010534373125374926,,3.01173125,2.6862404862777445,3.0152619603857924,2.6635800769533593,127.01235008239746,,
7,2,122.97477674484253,4.1687681674957275,127.82405686378479,10.9,243.161088,2756.927488,0.0,29.0,1.463040456615603,40.551889622075585,67.71645670865827,0.39142119884490967,,0.3333333333333333,64,4,0.0010494481103779246,,2.86357375,2.5048429767171565,2.86364991450171,2.4460734806163766,127.8237533569336,,
8,2,122.90530633926392,4.05554461479187,127.09662199020386,11.6,6414.35392,2757.226496,0.0,27.0,38.593589809940646,43.17136572685463,70.38592281543691,0.4239683151245117,,0.3333333333333333,64,4,0.0010468286342731454,,2.7445203125,2.3607415235702858,2.7435229420411593,2.287032778991077,127.0963408946991,,
9,2,122.8709568977356,3.9970102310180664,126.98093843460083,11.8,7023.10144,2758.479872,0.0,27.0,42.25627390528578,44.05118976204759,71.38572285542891,0.43202051520347595,,0.3333333333333333,64,4,0.0010459488102379524,,2.6370634375,2.3163851604679064,2.6388430825133495,2.2620188364670817,126.98065662384033,,
10,2,119.74413442611694,3.8867077827453613,124.10999512672424,10.4,237.75744,2759.340032,0.0,26.0,1.4305280357248475,46.030793841231755,73.29534093181364,0.45368123054504395,,0.3333333333333333,64,4,0.0010439692061587683,,2.544406875,2.228708359890522,2.546522507049859,2.1780597981966108,124.10970067977905,,
11,2,120.67703056335449,4.063300371170044,124.96077251434326,12.0,243.1616,2778.673152,0.0,26.0,1.4630435371936672,47.640471905618874,74.43511297740451,0.47435253858566284,,0.3333333333333333,64,4,0.0010423595280943812,,2.4617575,2.1557317442761446,2.462471453695926,2.115843188784118,124.9604823589325,,
12,2,121.27986288070679,4.04436993598938,125.43944025039673,12.0,1913.759744,2760.011776,0.0,25.0,11.514621655724453,48.73025394921016,74.96500699860027,0.4805278778076172,,0.3333333333333333,64,4,0.0010412697460507898,,2.38062125,2.108190666554189,2.3824550852732944,2.0683633292872674,125.4391393661499,,
13,2,118.14873600006104,4.163901329040527,122.51488900184631,12.0,8199.63648,2759.688192,0.0,25.0,49.335195850831006,49.6500699860028,76.19476104779044,0.4939071834087372,,0.3333333333333333,64,4,0.0010403499300139971,,2.3026565625,2.0499183366451708,2.3151244787604246,1.9979114040473156,122.51460790634155,,
14,2,121.30206108093262,4.128600358963013,125.61667656898499,11.5,1222.460928,2760.994816,0.0,25.0,7.355246717336014,51.01979604079184,76.66466706658669,0.5091512799263,,0.3333333333333333,64,5,0.0010389802039592081,,2.2442515625,2.030609893646271,2.236516675916482,1.9799319921172016,125.61635613441467,,
15,2,122.83781170845032,4.029576063156128,126.96210789680481,11.8,243.1616,2794.84416,0.0,25.0,1.4630435371936672,50.72985402919416,76.60467906418717,0.5067659020423889,,0.3333333333333333,64,4,0.0010392701459708059,,2.18053765625,2.0693859275019997,2.2004494285114298,2.011509612140072,126.96180510520935,,
16,2,123.21640658378601,4.120506525039673,127.4474732875824,11.6,243.1616,2760.327168,0.0,26.0,1.4630435371936672,53.06938612277545,77.83443311337733,0.5264139771461487,,0.3333333333333333,64,4,0.0010369306138772246,,2.127495,1.9327025219956009,2.1153155843133136,1.8832700256823636,127.44720602035522,,
17,2,122.28665161132812,4.129302978515625,126.52392482757568,11.6,8263.834112,2760.572928,0.0,26.0,49.72145721200292,51.95960807838432,77.33453309338132,0.5189050436019897,,0.3333333333333333,64,4,0.0010380403919216157,,2.07314640625,2.017505873825235,2.0574172110307796,1.945591789845156,126.52363443374634,,
18,2,122.20137524604797,3.9660041332244873,126.54498863220215,11.6,7908.41088,2760.58112,0.0,25.0,47.58296304785,54.00919816036792,79.23415316936612,0.5393416285514832,,0.3333333333333333,64,4,0.001035990801839632,,2.01881703125,1.8799714666441711,2.0264196278574427,1.8301531100029993,126.54470610618591,,
19,2,124.20416975021362,3.807137966156006,128.30725741386414,10.0,8197.047808,2760.577024,0.0,25.0,49.31962044813784,54.31913617276545,78.78424315136972,0.5381006598472595,,0.3333333333333333,64,4,0.0010356808638272345,,1.96104453125,1.9072681557438513,1.9755282238105238,1.875323665735603,128.3069908618927,,
20,2,122.31774044036865,3.780745029449463,126.49129939079285,11.2,8350.553088,2760.900608,0.0,25.0,50.243223960489736,55.03899220155969,79.56408718256348,0.5482308864593506,,0.3333333333333333,64,4,0.0010349610077984403,,1.92007671875,1.8856414264022197,1.9146531131877362,1.8225563383417067,126.49099445343018,,
