model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
pplx-sonar-pro,36,1,1,0,1,4.3005
pplx-sonar-pro,36,2,1,0,1,3.3819
pplx-sonar-pro,37,0,1,1,1,2.8778
pplx-sonar-pro,37,1,1,1,1,2.9341
pplx-sonar-pro,37,2,1,1,1,2.8886
pplx-sonar-pro,38,0,0,0,0,6.8700
pplx-sonar-pro,38,1,1,1,1,3.5116
pplx-sonar-pro,38,2,1,0,1,1.9043
pplx-sonar-pro,39,0,0,0,0,2.7780
pplx-sonar-pro,39,1,0,0,0,2.9631
pplx-sonar-pro,39,2,0,0,0,3.2682
pplx-sonar-pro,40,0,0,0,0,2.9339
pplx-sonar-pro,40,1,0,0,0,3.5145
pplx-sonar-pro,40,2,0,0,0,2.7681
pplx-sonar-pro,41,0,1,1,1,2.6594
pplx-sonar-pro,41,1,1,1,1,3.2776
pplx-sonar-pro,41,2,1,1,1,3.7974
pplx-sonar-pro,42,0,0,1,1,2.8569
pplx-sonar-pro,42,1,0,1,1,3.0717
pplx-sonar-pro,42,2,0,1,1,3.1745
pplx-sonar-pro,43,0,0,1,1,2.8734
pplx-sonar-pro,43,1,0,1,1,2.8170
pplx-sonar-pro,43,2,0,1,1,4.2460
pplx-sonar-pro,44,0,0,1,1,3.5812
pplx-sonar-pro,44,1,0,1,1,3.6874
pplx-sonar-pro,44,2,0,1,1,4.1042
pplx-sonar-pro,45,0,0,1,1,2.8547
pplx-sonar-pro,45,1,0,1,1,2.6629
pplx-sonar-pro,45,2,0,1,1,3.0725
pplx-sonar-pro,46,0,1,1,1,2.7671
pplx-sonar-pro,46,1,1,1,1,2.7688
pplx-sonar-pro,46,2,1,1,1,2.6879
pplx-sonar-pro,47,0,0,1,1,3.0483
pplx-sonar-pro,47,1,0,1,1,3.2665
pplx-sonar-pro,47,2,0,1,1,2.9711
pplx-sonar-pro,48,0,0,1,1,3.7504
pplx-sonar-pro,48,1,0,1,1,3.3148
pplx-sonar-pro,48,2,0,1,1,3.1749
pplx-sonar-pro,49,0,1,1,1,3.1722
pplx-sonar-pro,49,1,1,1,1,3.1756
pplx-sonar-pro,49,2,1,1,1,3.2745
pplx-sonar-pro,50,0,0,1,1,2.7708
pplx-sonar-pro,50,1,0,1,1,2.8616
pplx-sonar-pro,50,2,0,1,1,3.3792
pplx-sonar-pro,51,0,1,0,0,2.8733
pplx-sonar-pro,51,1,1,0,1,3.6786
pplx-sonar-pro,51,2,1,0,0,2.8725
pplx-sonar-pro,52,0,1,1,1,2.8626
pplx-sonar-pro,52,1,1,1,1,3.1830
pplx-sonar-pro,52,2,1,1,1,3.0988
pplx-sonar-pro,53,0,0,0,0,3.2403
pplx-sonar-pro,53,1,0,0,0,5.5288
pplx-sonar-pro,53,2,0,0,0,2.8684
pplx-sonar-pro,54,0,1,1,1,3.1721
pplx-sonar-pro,54,1,1,1,1,2.9702
pplx-sonar-pro,54,2,1,1,1,3.1607
pplx-sonar-pro,55,0,1,1,1,3.5974
pplx-sonar-pro,55,1,1,1,1,2.8663
pplx-sonar-pro,55,2,1,1,1,2.8670
pplx-sonar-pro,56,0,1,0,1,2.8693
pplx-sonar-pro,56,1,1,0,1,3.0697
pplx-sonar-pro,56,2,1,0,1,3.0861
pplx-sonar-pro,57,0,1,1,1,3.1603
pplx-sonar-pro,57,1,1,1,1,3.0714
pplx-sonar-pro,57,2,1,1,1,2.6615
pplx-sonar-pro,58,0,1,1,1,3.2769
pplx-sonar-pro,58,1,1,1,1,3.7898
pplx-sonar-pro,58,2,1,1,1,2.9687
pplx-sonar-pro,59,0,1,1,1,3.3794
pplx-sonar-pro,59,1,1,1,1,2.7733
pplx-sonar-pro,59,2,1,1,1,2.8828
pplx-sonar-pro,60,0,0,0,0,2.7534
pplx-sonar-pro,60,1,0,0,0,3.0358
pplx-sonar-pro,60,2,0,0,0,2.8879
pplx-sonar-pro,61,0,1,0,1,3.0734
