Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
648,BERT-Large,1,64,1,1976.1,0.10,0.33
651,BERT-Large,1,64,1,1970.2,0.10,0.33
672,BERT-Large,1,64,1,1964.8,0.10,0.33
676,BERT-Large,1,64,1,1954.0,0.10,0.33
680,BERT-Large,1,64,1,1946.2,0.10,0.33
682,BERT-Large,1,64,1,1944.4,0.10,0.33
685,BERT-Large,1,64,1,1928.2,0.10,0.33
689,BERT-Large,1,64,1,1918.8,0.10,0.33
690,BERT-Large,1,64,1,1915.1,0.10,0.33
696,BERT-Large,1,64,1,1907.7,0.10,0.33
702,BERT-Large,1,64,1,1902.5,0.10,0.33
705,BERT-Large,1,64,1,1898.5,0.10,0.33
706,BERT-Large,1,64,1,1898.5,0.10,0.33
707,BERT-Large,1,64,1,1897.3,0.10,0.33
717,BERT-Large,1,64,1,1887.2,0.10,0.33
722,BERT-Large,1,64,1,1879.9,0.10,0.33
736,BERT-Large,1,64,1,1851.0,0.10,0.33
737,BERT-Large,1,64,1,1849.1,0.10,0.33
881,BERT-Large,1,64,1,1669.3,0.08,0.42
882,BERT-Large,1,64,1,1683.2,0.08,0.42
883,BERT-Large,1,64,1,1683.7,0.08,0.42
886,BERT-Large,1,64,1,1681.9,0.08,0.42
898,BERT-Large,1,64,1,1680.4,0.08,0.42
899,BERT-Large,1,64,1,1684.0,0.08,0.42
906,BERT-Large,1,64,1,1679.3,0.08,0.42
910,BERT-Large,1,64,1,1682.9,0.08,0.42
913,BERT-Large,1,64,1,1682.0,0.08,0.42
932,BERT-Large,1,64,1,1663.7,0.08,0.42
938,BERT-Large,1,64,1,1653.2,0.08,0.42
944,BERT-Large,1,64,1,1649.2,0.08,0.42
949,BERT-Large,1,64,1,1647.3,0.08,0.42
954,BERT-Large,1,64,1,1644.7,0.08,0.42
956,BERT-Large,1,64,1,1642.1,0.08,0.42
964,BERT-Large,1,64,1,1633.7,0.08,0.42
758,GPT-FineTune,4,32,1,1908.0,0.39,0.85
984,BERT-Large,1,64,1,1593.1,0.08,0.42
994,BERT-Large,1,64,1,1583.0,0.08,0.42
999,BERT-Large,1,64,1,1577.0,0.08,0.42
770,GPT-FineTune,4,32,1,1899.7,0.39,0.85
788,GPT-FineTune,4,32,1,1955.6,0.39,0.85
831,GPT-FineTune,4,32,1,1930.3,0.39,0.85
791,BERT-Large,1,64,1,1983.5,0.10,0.33
792,BERT-Large,1,64,1,1985.2,0.10,0.33
798,BERT-Large,1,64,1,1982.1,0.10,0.33
801,BERT-Large,1,64,1,1984.9,0.10,0.33
847,GPT-FineTune,4,32,1,1930.3,0.39,0.85
803,BERT-Large,1,64,1,1984.8,0.10,0.33
848,GPT-FineTune,4,32,1,1933.5,0.39,0.85
805,BERT-Large,1,64,1,1988.9,0.10,0.33
850,GPT-FineTune,4,32,1,1933.7,0.39,0.85
857,GPT-FineTune,4,32,1,1924.6,0.39,0.85
810,BERT-Large,1,64,1,1985.3,0.10,0.33
811,BERT-Large,1,64,1,1985.3,0.10,0.33
865,GPT-FineTune,4,32,1,1919.1,0.39,0.85
827,BERT-Large,1,64,1,1972.4,0.10,0.33
876,GPT-FineTune,4,32,1,1907.1,0.39,0.85
895,GPT-FineTune,4,32,1,1896.7,0.39,0.85
844,BERT-Large,1,64,1,1978.6,0.10,0.33
869,BERT-Large,1,64,1,1950.7,0.10,0.33
918,GPT-FineTune,4,32,1,1899.1,0.39,0.85
870,BERT-Large,1,64,1,1966.1,0.10,0.33
875,BERT-Large,1,64,1,1966.0,0.10,0.33
877,BERT-Large,1,64,1,1964.4,0.10,0.33
190,DenseNet121,4,128,1,3012.5,0.16,0.80
361,BERT-Large,1,64,1,2749.9,0.13,0.30
362,BERT-Large,1,64,1,2749.2,0.13,0.30
366,BERT-Large,1,64,1,2747.1,0.13,0.30
370,BERT-Large,1,64,1,2741.3,0.13,0.30
889,BERT-Large,1,64,1,1982.4,0.10,0.33
384,BERT-Large,1,64,1,2730.9,0.13,0.30
385,BERT-Large,1,64,1,2730.4,0.13,0.30
388,BERT-Large,1,64,1,2727.8,0.13,0.30
389,BERT-Large,1,64,1,2727.3,0.13,0.30
403,BERT-Large,1,64,1,2715.8,0.13,0.30
410,BERT-Large,1,64,1,2704.3,0.13,0.30
417,BERT-Large,1,64,1,2695.9,0.13,0.30
419,BERT-Large,1,64,1,2692.5,0.13,0.30
137,DenseNet121,4,128,1,3137.2,0.22,0.72
143,DenseNet121,4,128,1,3137.0,0.22,0.72
152,DenseNet121,4,128,1,3127.9,0.22,0.72
156,DenseNet121,4,128,1,3131.7,0.22,0.72
947,GPT-FineTune,4,32,1,1974.3,0.39,0.85
959,GPT-FineTune,4,32,1,1971.1,0.39,0.85
161,DenseNet121,4,128,1,3144.6,0.22,0.72
175,DenseNet121,4,128,1,3153.1,0.22,0.72
180,DenseNet121,4,128,1,3152.9,0.22,0.72
186,DenseNet121,4,128,1,3142.9,0.22,0.72
188,DenseNet121,4,128,1,3143.1,0.22,0.72
539,BERT-Large,1,64,1,2620.7,0.13,0.30
540,BERT-Large,1,64,1,2619.0,0.13,0.30
542,BERT-Large,1,64,1,2618.6,0.13,0.30
543,BERT-Large,1,64,1,2616.7,0.13,0.30
551,BERT-Large,1,64,1,2612.7,0.13,0.30
553,BERT-Large,1,64,1,2608.0,0.13,0.30
556,BERT-Large,1,64,1,2605.1,0.13,0.30
560,BERT-Large,1,64,1,2601.1,0.13,0.30
