epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss,epoch_power_dt_sec,gpu_power_w,cpu_power_w
1,3,84.6235773563385,3.591348648071289,88.30083727836609,27.5,240.018944,2088.763392,65.0,64.0,0.9440047111329918,10.35,29.37,0.07597994804382324,,0.25,64,5,0.00107965,,4.623779375,4.27450859375,4.61848,4.2619953125,88.29756832122803,200.1451606878475,
2,3,82.34754228591919,2.6508054733276367,85.12828373908997,27.7,8268.933632,2555.150336,62.0,65.0,32.52206752752833,20.38,44.74,0.17771965265274048,,0.25,64,6,0.00106962,,4.039786875,3.576791015625,4.0439653125,3.611118359375,85.12466597557068,207.25220825020963,
3,3,82.39232802391052,2.626824378967285,85.14403414726257,26.2,242.432512,2692.042752,62.0,63.0,0.9534973766895898,25.24,51.09,0.2355501651763916,,0.25,64,5,0.0010647599999999999,,3.657734375,3.2785671875,3.657308125,3.284705078125,85.14009952545166,207.39855953210224,
4,3,81.56138563156128,2.7186639308929443,84.40479063987732,28.3,7864.256512,2690.711552,61.0,65.0,30.930455209761732,30.28,58.49,0.29083821177482605,,0.25,64,6,0.00105972,,3.377434375,2.984937890625,3.367535,3.0238427734375,84.39947485923767,208.54602507129704,
5,3,82.18211507797241,2.763251304626465,85.03162097930908,28.4,242.432512,2691.85024,64.0,64.0,0.9534973766895898,34.7,62.14,0.33150792121887207,,0.25,64,5,0.0010553,,3.164953125,2.791649609375,3.1523471875,2.7937990234375,85.02842926979065,207.09401727425336,
6,3,82.11098837852478,2.737307548522949,84.9622688293457,25.9,242.432512,2693.545984,60.0,64.0,0.9534973766895898,37.02,64.38,0.34911948442459106,,0.25,64,5,0.00105298,,2.996993125,2.691366015625,2.99876875,2.6966400390625,84.95890307426453,207.29258927231328,
7,3,82.23941326141357,2.7152931690216064,85.08265614509583,26.1,3689.98144,2692.112384,62.0,65.0,14.512853882705611,39.14,66.96,0.3797076940536499,,0.25,64,6,0.00105086,,2.868274375,2.557903515625,2.8707828125,2.5836748046875,85.07875370979309,207.94752189656043,
8,3,81.74101400375366,2.614950656890869,84.463707447052,23.1,242.432512,2692.468736,61.0,63.0,0.9534973766895898,41.21,69.31,0.4037942588329315,,0.25,64,5,0.00104879,,2.7455525,2.4527033203125,2.7271146875,2.4701517578125,84.46066951751709,208.88915634679486,
9,3,82.06619191169739,2.625396490097046,84.8155255317688,22.8,4323.422208,2693.636096,60.0,63.0,17.004203353919436,43.72,70.58,0.42913565039634705,,0.25,64,5,0.0010462800000000001,,2.643504375,2.3689236328125,2.6473715625,2.3768365234375,84.81156921386719,207.82617469972894,
10,3,82.24781489372253,2.647663116455078,85.0201027393341,25.5,242.432512,2692.595712,66.0,64.0,0.9534973766895898,46.28,73.39,0.45773857831954956,,0.25,64,4,0.00104372,,2.549948125,2.2095912109375,2.56544328125,2.2000900390625,85.0127305984497,207.82902602498092,
11,3,81.94474768638611,5.311705827713013,87.4007294178009,21.7,6545.008128,2693.042176,65.0,65.0,25.74179522777887,44.94,72.05,0.441846638917923,,0.25,64,6,0.0010450600000000002,,2.46226703125,2.31188046875,2.4558915625,2.32597578125,87.39748120307922,205.08144803798376,
12,3,82.9984986782074,2.6176164150238037,85.76126194000244,22.6,242.432512,2693.71392,65.0,63.0,0.9534973766895898,48.57,74.57,0.4797971248626709,,0.25,64,5,0.00104143,,2.3967534375,2.13119921875,2.400505625,2.120286328125,85.75812363624573,206.30558657094102,
13,3,82.00550866127014,2.6685750484466553,84.78727340698242,25.3,242.432512,2693.2224,65.0,63.0,0.9534973766895898,49.89,75.39,0.4950792193412781,,0.25,64,5,0.0010401100000000001,,2.318593125,2.089115234375,2.33906515625,2.06394140625,84.78443264961243,207.97256582316308,
14,3,81.40911197662354,2.6279382705688477,84.16106915473938,23.5,228.466688,2693.484544,60.0,63.0,0.898569197142003,50.65,76.65,0.501464307308197,,0.25,64,5,0.00103935,,2.2578940625,2.027634375,2.25384,2.0336189453125,84.15821552276611,209.22868778316348,
15,3,81.84963989257812,2.7916266918182373,84.756760597229,24.7,242.432512,2693.75488,63.0,64.0,0.9534973766895898,50.98,76.85,0.5123661160469055,,0.25,64,5,0.00103902,,2.19506234375,2.036376953125,2.2159396875,2.0175044921875,84.75383830070496,207.81021076013056,
16,3,82.21258234977722,2.752523422241211,85.07485604286194,23.2,242.432512,2693.931008,62.0,63.0,0.9534973766895898,52.25,78.05,0.5195121765136719,,0.25,64,5,0.00103775,,2.13368515625,1.9425767578125,2.11277453125,1.9318158203125,85.06926608085632,207.68134972748598,
17,3,81.69496536254883,2.6352012157440186,84.4420018196106,24.0,242.432512,2693.931008,66.0,63.0,0.9534973766895898,51.92,77.48,0.5189003944396973,,0.25,64,5,0.0010380799999999998,,2.066824375,2.010021484375,2.0603434375,2.0012759765625,84.43740797042847,208.11710617826353,
18,3,81.62757086753845,2.6275577545166016,84.37939405441284,22.9,242.432512,2724.143104,63.0,63.0,0.9534973766895898,52.66,77.42,0.5244340896606445,,0.25,64,5,0.0010373399999999999,,2.0309584375,1.994784375,2.03735390625,1.961661328125,84.37626314163208,208.81974792394072,
19,3,81.56789922714233,2.68634033203125,84.33022093772888,24.0,242.432512,2693.935104,64.0,63.0,0.9534973766895898,52.82,77.8,0.5276615023612976,,0.25,64,5,0.00103718,,1.980571875,1.9868775390625,1.99308890625,1.9852845703125,84.32791590690613,208.74706567435092,
20,3,82.14434599876404,2.8459432125091553,85.09546899795532,24.5,4893.344768,2693.935104,65.0,65.0,19.24573301259911,54.73,79.19,0.5439601540565491,,0.25,64,6,0.00103527,,1.9370884375,1.8844576171875,1.952565625,1.870953125,85.08984518051147,207.81625542373658,
