ts,node_id,gpu_index,gpu_util,power_w,mem_used_mb,mem_total_mb
2025-12-31 00:02:44,clusterB,-1,0.0,34.178,0.0,0.0
2025-12-31 00:02:45,clusterB,-1,0.0,49.584999999999994,0.0,0.0
2025-12-31 00:02:46,clusterB,-1,0.0,67.054,0.0,0.0
2025-12-31 00:02:47,clusterB,-1,0.0,67.054,0.0,0.0
2025-12-31 00:02:48,clusterB,-1,0.0,67.054,0.0,0.0
2025-12-31 00:02:49,clusterB,-1,0.0,67.16900000000001,0.0,0.0
2025-12-31 00:02:50,clusterB,-1,0.0,67.049,0.0,0.0
2025-12-31 00:02:51,clusterB,-1,0.0,66.975,0.0,0.0
2025-12-31 00:02:52,clusterB,-1,0.0,66.975,0.0,0.0
2025-12-31 00:02:53,clusterB,-1,0.0,66.975,0.0,0.0
2025-12-31 00:02:53,clusterA,-1,0.0,10.364,0.0,0.0
2025-12-31 00:02:54,clusterB,-1,0.0,66.834,0.0,0.0
2025-12-31 00:02:54,clusterA,-1,0.0,10.364,0.0,0.0
2025-12-31 00:02:55,clusterB,-1,0.0,66.916,0.0,0.0
2025-12-31 00:02:55,clusterA,-1,0.0,10.364,0.0,0.0
2025-12-31 00:02:56,clusterB,-1,0.0,66.949,0.0,0.0
2025-12-31 00:02:56,clusterA,-1,0.0,10.364,0.0,0.0
2025-12-31 00:02:57,clusterB,-1,0.0,66.949,0.0,0.0
2025-12-31 00:02:57,clusterA,-1,0.0,10.364,0.0,0.0
2025-12-31 00:02:58,clusterB,-1,0.0,66.949,0.0,0.0
2025-12-31 00:02:58,clusterA,-1,0.0,10.539,0.0,0.0
2025-12-31 00:02:59,clusterB,-1,0.0,67.01,0.0,0.0
2025-12-31 00:02:59,clusterA,-1,0.0,10.539,0.0,0.0
2025-12-31 00:03:00,clusterB,-1,0.0,66.874,0.0,0.0
2025-12-31 00:03:00,clusterA,-1,0.0,10.539,0.0,0.0
2025-12-31 00:03:01,clusterB,-1,0.0,66.91499999999999,0.0,0.0
2025-12-31 00:03:01,clusterA,-1,0.0,10.539,0.0,0.0
2025-12-31 00:03:02,clusterB,-1,0.0,66.91499999999999,0.0,0.0
2025-12-31 00:03:02,clusterA,-1,0.0,10.539,0.0,0.0
2025-12-31 00:03:03,clusterB,-1,0.0,66.91499999999999,0.0,0.0
2025-12-31 00:03:03,clusterA,-1,0.0,10.438,0.0,0.0
2025-12-31 00:03:04,clusterB,-1,0.0,66.946,0.0,0.0
2025-12-31 00:03:04,clusterA,-1,0.0,10.438,0.0,0.0
2025-12-31 00:03:05,clusterB,-1,0.0,67.063,0.0,0.0
2025-12-31 00:03:05,clusterA,-1,0.0,10.438,0.0,0.0
2025-12-31 00:03:06,clusterB,-1,0.0,66.965,0.0,0.0
2025-12-31 00:03:06,clusterA,-1,0.0,10.438,0.0,0.0
2025-12-31 00:03:07,clusterB,-1,0.0,66.965,0.0,0.0
2025-12-31 00:03:07,clusterA,-1,0.0,10.438,0.0,0.0
2025-12-31 00:03:08,clusterB,-1,0.0,66.965,0.0,0.0
2025-12-31 00:03:08,clusterA,-1,0.0,10.453,0.0,0.0
2025-12-31 00:03:09,clusterB,-1,0.0,66.932,0.0,0.0
2025-12-31 00:03:09,clusterA,-1,0.0,10.453,0.0,0.0
2025-12-31 00:03:10,clusterB,-1,0.0,66.85199999999999,0.0,0.0
2025-12-31 00:03:10,clusterA,-1,0.0,10.453,0.0,0.0
2025-12-31 00:03:11,clusterB,-1,0.0,66.877,0.0,0.0
2025-12-31 00:03:11,clusterA,-1,0.0,10.453,0.0,0.0
2025-12-31 00:03:12,clusterB,-1,0.0,66.877,0.0,0.0
2025-12-31 00:03:12,clusterA,-1,0.0,10.453,0.0,0.0
2025-12-31 00:03:13,clusterB,-1,0.0,66.877,0.0,0.0
2025-12-31 00:03:13,clusterA,-1,0.0,10.397,0.0,0.0
2025-12-31 00:03:14,clusterB,-1,0.0,66.825,0.0,0.0
2025-12-31 00:03:14,clusterA,-1,0.0,10.397,0.0,0.0
