epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss,epoch_power_dt_sec,gpu_power_w,cpu_power_w
1,1,163.92313957214355,5.76629638671875,169.81830048561096,8.7,8545.015808,2271.801344,0.0,50.0,51.413258315096314,10.14,28.26,0.07741925120353699,,0.5,64,6,0.00107986,,4.651266875,4.27959140625,4.6478378125,4.28016484375,169.81804609298706,,
2,1,163.23850750923157,5.58614706993103,168.9181776046753,8.2,7862.683648,2914.476032,0.0,54.0,47.30783354034818,19.22,43.98,0.16720259189605713,,0.5,64,6,0.0010707800000000001,,4.09821375,3.615887109375,4.0962175,3.616312890625,168.91789960861206,,
3,1,165.23978972434998,5.4271626472473145,171.0151834487915,7.5,5237.302784,2917.4784,0.0,55.0,31.511562641706593,22.98,48.86,0.2101137936115265,,0.5,64,5,0.0010670200000000001,,3.703448125,3.4338375,3.704866875,3.458840625,171.01487016677856,,
4,1,164.6720995903015,5.411243438720703,170.17226791381836,8.3,244.365824,2943.377408,0.0,58.0,1.4702890568009304,30.88,58.49,0.28636470437049866,,0.5,64,4,0.00105912,,3.40794125,2.979708203125,3.4056065625,2.979626953125,170.17190027236938,,
5,1,165.42981886863708,5.501723289489746,171.02476239204407,8.2,4068.62336,2917.982208,0.0,54.0,24.4799060054021,35.52,63.92,0.33797314763069153,,0.5,64,4,0.00105448,,3.180685,2.727533984375,3.182205,2.7283765625,171.02442693710327,,
6,1,167.49539637565613,5.440248489379883,173.0968039035797,8.0,2944.671744,2918.801408,0.0,54.0,17.7173655882179,37.36,65.44,0.36299553513526917,,0.5,64,5,0.00105264,,3.000578125,2.6360521484375,3.0045821875,2.62522421875,173.09650588035583,,
7,1,165.74381828308105,5.352912187576294,171.66181659698486,8.3,6812.263936,2918.064128,0.0,54.0,40.987716503026355,41.08,68.91,0.40185338258743286,,0.5,64,4,0.00104892,,2.854645,2.46956328125,2.86377,2.461258984375,171.66142678260803,,
8,1,167.4823353290558,5.407756328582764,173.08481860160828,8.5,244.365824,2926.81728,0.0,58.0,1.4702890568009304,43.22,70.77,0.42722147703170776,,0.5,64,4,0.00104678,,2.734019375,2.35436640625,2.734016875,2.341912890625,173.08454036712646,,
9,1,167.35322165489197,5.230283498764038,172.84714269638062,8.0,244.365824,2918.842368,0.0,54.0,1.4702890568009304,45.31,72.61,0.44306856393814087,,0.5,64,4,0.0010446900000000002,,2.6203378125,2.266883984375,2.6318953125,2.2567451171875,172.8468370437622,,
10,1,163.97312092781067,5.38166356086731,169.45587682724,8.0,8453.133312,2918.539264,0.0,55.0,50.86042393683089,46.51,73.67,0.45905154943466187,,0.5,64,5,0.00104349,,2.534770625,2.203385546875,2.5348090625,2.189533984375,169.45557355880737,,
11,1,166.21918487548828,5.3282997608184814,171.6692018508911,8.0,244.365824,2919.452672,0.0,56.0,1.4702890568009304,47.47,73.83,0.468971312046051,,0.5,64,4,0.00104253,,2.4431434375,2.18044609375,2.44702265625,2.1605080078125,171.66893577575684,,
12,1,166.48802876472473,5.397464036941528,171.98207068443298,7.8,244.365824,2919.211008,0.0,58.0,1.4702890568009304,49.75,75.36,0.49404123425483704,,0.5,64,4,0.00104025,,2.3612146875,2.0654822265625,2.36037234375,2.049579296875,171.98181414604187,,
13,1,164.68831944465637,5.247141122817993,170.2345051765442,8.4,244.365824,2919.2192,0.0,54.0,1.4702890568009304,50.57,76.95,0.5008288025856018,,0.5,64,4,0.00103943,,2.29024171875,2.028415234375,2.299891875,2.0222646484375,170.2341935634613,,
14,1,165.14846277236938,5.418285608291626,170.6759889125824,7.8,7856.260096,2919.182336,0.0,55.0,47.26918460795331,51.22,76.47,0.5107090473175049,,0.5,64,5,0.00103878,,2.2241821875,2.023134765625,2.221346875,1.9922556640625,170.67569398880005,,
15,1,163.96737670898438,6.065948486328125,170.1362452507019,7.9,244.365312,2919.395328,0.0,57.0,1.4702859762228662,52.07,77.54,0.5189478397369385,,0.5,64,4,0.00103793,,2.16346359375,1.9708388671875,2.16514078125,1.95331171875,170.13594436645508,,
16,1,165.17368006706238,5.427181720733643,170.81318044662476,7.4,215.550976,2919.768064,0.0,56.0,1.296917203919481,52.18,77.92,0.5186930894851685,,0.5,64,5,0.00103782,,2.10466296875,1.96893984375,2.09325890625,1.9486384765625,170.81288766860962,,
17,1,166.41744542121887,5.4779438972473145,171.98570370674133,8.0,244.365824,2919.981056,0.0,57.0,1.4702890568009304,53.74,78.13,0.5343848466873169,,0.5,64,4,0.00103626,,2.04325375,1.9332125,2.03573484375,1.919780859375,171.98538780212402,,
18,1,166.5093231201172,5.413048267364502,172.1363890171051,7.7,6419.149312,2920.20224,0.0,54.0,38.622442504091005,54.43,79.13,0.5438350439071655,,0.5,64,5,0.0010355700000000002,,1.9921209375,1.9078205078125,1.993565625,1.889671484375,172.13609051704407,,
19,1,165.8850064277649,5.295058727264404,171.50545811653137,8.1,215.216128,2919.972864,0.0,58.0,1.2949025058654204,54.32,78.62,0.5413007140159607,,0.5,64,4,0.00103568,,1.94159921875,1.91209140625,1.93961109375,1.9009935546875,171.50517058372498,,
20,1,164.9828326702118,5.368310928344727,170.5956244468689,8.1,8452.874752,2920.349696,0.0,55.0,50.858868244908415,56.16,79.52,0.5594742894172668,,0.5,64,5,0.00103384,,1.90449125,1.851462890625,1.904918125,1.823550390625,170.59536719322205,,
