epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss,epoch_power_dt_sec,gpu_power_w,cpu_power_w
1,0,166.73596668243408,6.022289276123047,173.5571527481079,15.0,4091.222528,2236.649472,0.0,61.0,24.61587964058279,11.05,30.59,0.08747220784425735,[ 0.0071244  -0.00624677],0.5,64,6,0.0010789500000000002,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010789500000000002, ""num_workers"": 6}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010789500000000002, ""num_workers"": 5}]",4.64443125,4.16555625,4.6538040625,4.17683828125,173.5568709373474,,
2,0,167.4923610687256,5.818364143371582,173.39133381843567,12.6,1272.707584,2918.744064,0.0,60.0,7.657568487411524,17.93,41.66,0.15741801261901855,[ 0.01286145 -0.04393326],0.5,64,5,0.00107207,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00107207, ""num_workers"": 5}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00107207, ""num_workers"": 4}]",4.0702375,3.73510234375,4.068859375,3.740845703125,173.3911259174347,,
3,0,171.78650832176208,5.744488477706909,177.6757309436798,11.3,6547.203072,2922.500096,0.0,62.0,39.392910480865915,25.53,52.7,0.2283131182193756,[ 0.00231949 -0.00858742],0.5,64,5,0.00106447,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00106447, ""num_workers"": 5}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00106447, ""num_workers"": 4}]",3.67212875,3.28262109375,3.67232375,3.264376171875,177.6755313873291,,
4,0,170.9969732761383,5.970280170440674,177.04250168800354,12.9,2431.510528,2921.811968,0.0,61.0,14.629800772855422,31.59,58.65,0.294994592666626,[-0.03183659 -0.00368798],0.5,64,4,0.00105841,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105841, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105841, ""num_workers"": 5}]",3.36766625,2.952565234375,3.3720271875,2.954994921875,177.04219770431519,,
5,0,170.67944741249084,5.833062410354614,176.5905532836914,12.6,7165.945344,2923.339776,0.0,62.0,43.11573054060448,34.97,62.73,0.3392076790332794,[-0.0123077  0.0019885],0.5,64,4,0.00105503,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105503, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105503, ""num_workers"": 4}]",3.14673375,2.7942953125,3.1454465625,2.7964796875,176.59034085273743,,
6,0,170.1887331008911,5.771644115447998,176.57523798942566,11.8,257.71264,2925.056,0.0,58.0,1.5505935657814318,37.72,65.49,0.3612736761569977,[-0.00545201  0.03841593],0.5,64,4,0.00105228,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105228, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105228, ""num_workers"": 5}]",2.98431625,2.625309765625,2.978474375,2.6457072265625,176.57489705085754,,
7,0,169.9637405872345,5.88493537902832,175.91965317726135,12.4,244.365312,2923.020288,0.0,61.0,1.4702859762228662,42.32,69.65,0.4095320403575897,[0.01243735 0.01741924],0.5,64,4,0.00104768,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104768, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104768, ""num_workers"": 5}]",2.838945625,2.414053515625,2.83358625,2.430682421875,175.91945123672485,,
8,0,171.14371490478516,5.76139235496521,177.33275151252747,11.1,177.249792,2923.47904,0.0,59.0,1.0664684006624474,42.49,70.05,0.41352614760398865,[-0.03265246  0.00053543],0.5,64,4,0.00104751,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104751, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104751, ""num_workers"": 5}]",2.71077375,2.39343828125,2.7110521875,2.404655859375,177.3324089050293,,
9,0,171.12360310554504,5.864694833755493,177.06265139579773,13.7,244.365312,2924.965888,0.0,62.0,1.4702859762228662,45.97,72.5,0.4549286663532257,[ 0.02955706 -0.02259572],0.5,64,4,0.00104403,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104403, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104403, ""num_workers"": 5}]",2.61076625,2.2592412109375,2.5996925,2.2712091796875,177.0624029636383,,
10,0,171.45385670661926,5.699792146682739,177.2561047077179,12.6,244.365312,2924.48256,0.0,60.0,1.4702859762228662,46.72,73.55,0.4641699194908142,[-0.04180341  0.06900133],0.5,64,4,0.00104328,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104328, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104328, ""num_workers"": 5}]",2.5116109375,2.208871484375,2.513539375,2.20894921875,177.25588536262512,,
11,0,169.3293013572693,5.603616952896118,175.00617146492004,11.7,177.249792,2924.642304,0.0,61.0,1.0664684006624474,48.73,74.93,0.4789924919605255,[ 0.01626239 -0.01886371],0.5,64,4,0.00104127,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104127, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104127, ""num_workers"": 5}]",2.4282021875,2.135115234375,2.42446078125,2.1414873046875,175.00588035583496,,
12,0,168.66183376312256,5.715784311294556,174.46362328529358,12.7,244.3648,2924.761088,0.0,58.0,1.470282895644802,49.72,75.38,0.49534010887145996,[0.00882886 0.00910386],0.5,64,4,0.0010402800000000002,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010402800000000002, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010402800000000002, ""num_workers"": 5}]",2.3519065625,2.087581640625,2.36175265625,2.100016796875,174.4634039402008,,
13,0,168.88446354866028,5.738781690597534,174.7108986377716,12.3,244.365312,2925.268992,0.0,63.0,1.4702859762228662,50.76,76.4,0.5018043518066406,[0.0519226 0.0157398],0.5,64,5,0.0010392399999999999,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010392399999999999, ""num_workers"": 5}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010392399999999999, ""num_workers"": 4}]",2.2785759375,2.025284765625,2.2633603125,2.0367767578125,174.71065020561218,,
14,0,168.99205470085144,5.788081407546997,174.86498141288757,12.8,8149.46816,2924.929024,0.0,61.0,49.03334540919934,51.58,76.79,0.5148211121559143,[ 0.00235733 -0.00172793],0.5,64,5,0.00103842,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00103842, ""num_workers"": 5}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00103842, ""num_workers"": 4}]",2.2144125,2.005601953125,2.2130646875,2.00580703125,174.86475539207458,,
15,0,169.08709239959717,5.742236375808716,174.8994038105011,12.6,244.3648,2924.888064,0.0,63.0,1.470282895644802,53.08,77.58,0.5292591452598572,[0.02706011 0.06190564],0.5,64,4,0.00103692,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00103692, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00103692, ""num_workers"": 5}]",2.14471625,1.96122421875,2.1438575,1.9776982421875,174.89921832084656,,
