ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-18 02:09:02,started,job-40a51ee16dfb,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=30122.8, T_est=71.20s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 30122.808307170868, ""started_ts"": 1763399342.7818615, ""est_runtime_sec"": 71.2}"
2025-11-18 02:14:00,finished,job-40a51ee16dfb,clusterA,4,exit=0,"{""end_ts"": 1763399640.322657, ""jct_sec"": 297.5407955646515, ""queued_sec"": 30122.808307170868}"
2025-11-18 02:14:01,started,job-889b8f1c3a28,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=23879.2, T_est=71.20s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 23879.249993801117, ""started_ts"": 1763399641.1764743, ""est_runtime_sec"": 71.2}"
2025-11-18 02:16:57,finished,job-889b8f1c3a28,clusterA,4,exit=0,"{""end_ts"": 1763399817.2999334, ""jct_sec"": 176.12345910072327, ""queued_sec"": 23879.249993801117}"
2025-11-18 02:16:57,started,job-26a9b3966a2f,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=20830.7, T_est=71.20s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 20830.671916007996, ""started_ts"": 1763399817.4193552, ""est_runtime_sec"": 71.2}"
2025-11-18 02:18:54,finished,job-26a9b3966a2f,clusterA,4,exit=0,"{""end_ts"": 1763399934.2120073, ""jct_sec"": 116.79265213012695, ""queued_sec"": 20830.671916007996}"
2025-11-18 02:18:54,started,job-8e92c81d531e,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=31671.3, T_est=1103.60s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 31671.34240961075, ""started_ts"": 1763399934.618315, ""est_runtime_sec"": 1103.6}"
2025-11-18 02:35:23,finished,job-8e92c81d531e,clusterA,4,exit=0,"{""end_ts"": 1763400923.4319258, ""jct_sec"": 988.81361079216, ""queued_sec"": 31671.34240961075}"
2025-11-18 02:35:23,started,job-57503ba1df14,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=34812.7, T_est=1932.00s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 34812.67072868347, ""started_ts"": 1763400923.7286563, ""est_runtime_sec"": 1932.0}"
2025-11-18 03:06:33,finished,job-57503ba1df14,clusterA,4,exit=0,"{""end_ts"": 1763402793.9148767, ""jct_sec"": 1870.186220407486, ""queued_sec"": 34812.67072868347}"
2025-11-18 03:06:34,started,job-70df46cef7b4,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=36288.1, T_est=6158.40s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 36288.09944987297, ""started_ts"": 1763402794.7795272, ""est_runtime_sec"": 6158.400000000001}"
2025-11-18 03:15:32,finished,job-60dfa6b026d1,clusterB,2,exit=0,"{""end_ts"": 1763403332.0523324, ""jct_sec"": 14089.139505147934, ""queued_sec"": 12422.364969491959}"
2025-11-18 03:15:32,started,job-35b71c91cd2e,clusterB,4,"SJF started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=25123.5, T_est=6158.40s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 25123.48051047325, ""started_ts"": 1763403332.4902003, ""est_runtime_sec"": 6158.400000000001}"
2025-11-18 03:45:10,finished,job-35b71c91cd2e,clusterB,4,exit=0,"{""end_ts"": 1763405110.7418268, ""jct_sec"": 1778.2516264915466, ""queued_sec"": 25123.48051047325}"
2025-11-18 04:08:59,finished,job-70df46cef7b4,clusterA,4,exit=0,"{""end_ts"": 1763406539.006665, ""jct_sec"": 3744.2271378040314, ""queued_sec"": 36288.09944987297}"
