ts,event,job_id,queue_len_after,note
2025-11-16 07:16:33,dequeue_start,job-5f822b583946,13,"g=2, cluster=clusterA"
2025-11-16 07:16:34,enqueue,job-bc74791d3ac3,14,"g=1, batch=16"
2025-11-16 07:17:06,enqueue,job-21147f4335a2,15,"g=2, batch=64"
2025-11-16 07:25:18,enqueue,job-2ae925c1684c,16,"g=2, batch=64"
2025-11-16 07:25:28,enqueue,job-6eb1fde2e3b2,17,"g=1, batch=256"
2025-11-16 07:30:04,enqueue,job-c8a85a3f2878,18,"g=4, batch=32"
2025-11-16 07:30:09,enqueue,job-423d77998eef,19,"g=2, batch=64"
2025-11-16 07:30:16,enqueue,job-2e6003b194ec,20,"g=1, batch=32"
2025-11-16 07:37:41,enqueue,job-80080b19abe1,21,"g=2, batch=32"
2025-11-16 07:53:42,enqueue,job-2b16ef10c82e,22,"g=2, batch=128"
2025-11-16 07:55:33,enqueue,job-119003435a41,23,"g=1, batch=64"
2025-11-16 08:02:04,enqueue,job-968c71e50e3d,24,"g=1, batch=128"
2025-11-16 08:02:50,enqueue,job-a15972eccac3,25,"g=1, batch=32"
2025-11-16 08:21:47,dequeue_start,job-20eb9a7e068c,24,"g=2, cluster=clusterA"
2025-11-16 08:26:51,dequeue_start,job-a167a39a5dee,23,"g=2, cluster=clusterB"
2025-11-16 08:29:47,dequeue_start,job-a989c8b3f3cb,22,"g=2, cluster=clusterB"
2025-11-16 08:29:47,dequeue_start,job-5adafa9ccb54,21,"g=1, cluster=clusterB"
2025-11-16 08:31:47,dequeue_start,job-71edc16723dc,20,"g=2, cluster=clusterB"
2025-11-16 09:05:32,dequeue_start,job-0353dfff1a17,19,"g=1, cluster=clusterB"
2025-11-16 09:21:03,dequeue_start,job-863718ab7985,18,"g=2, cluster=clusterA"
2025-11-16 09:26:17,dequeue_start,job-c53a4b2811d9,17,"g=4, cluster=clusterB"
2025-11-16 09:28:26,dequeue_start,job-4f2b03d4422f,16,"g=2, cluster=clusterB"
2025-11-16 09:28:26,dequeue_start,job-3c27111b74a7,15,"g=1, cluster=clusterB"
2025-11-16 09:28:26,dequeue_start,job-5511132b058e,14,"g=1, cluster=clusterB"
2025-11-16 10:20:57,dequeue_start,job-07e79327fba0,13,"g=1, cluster=clusterB"
2025-11-16 11:02:07,dequeue_start,job-a9ed7e843183,12,"g=2, cluster=clusterA"
2025-11-16 11:02:07,dequeue_start,job-bc74791d3ac3,11,"g=1, cluster=clusterB"
2025-11-16 11:25:23,dequeue_start,job-21147f4335a2,10,"g=2, cluster=clusterA"
2025-11-16 11:51:04,dequeue_start,job-2ae925c1684c,9,"g=2, cluster=clusterA"
2025-11-16 12:04:05,dequeue_start,job-6eb1fde2e3b2,8,"g=1, cluster=clusterA"
2025-11-16 12:25:49,dequeue_start,job-c8a85a3f2878,7,"g=4, cluster=clusterA"
2025-11-16 12:25:52,dequeue_start,job-423d77998eef,6,"g=2, cluster=clusterA"
2025-11-16 12:25:52,dequeue_start,job-2e6003b194ec,5,"g=1, cluster=clusterA"
2025-11-16 12:25:58,dequeue_start,job-80080b19abe1,4,"g=2, cluster=clusterA"
2025-11-16 12:51:58,dequeue_start,job-2b16ef10c82e,3,"g=2, cluster=clusterB"
2025-11-16 12:51:58,dequeue_start,job-119003435a41,2,"g=1, cluster=clusterB"
2025-11-16 13:15:08,dequeue_start,job-968c71e50e3d,1,"g=1, cluster=clusterB"
2025-11-16 13:15:08,dequeue_start,job-a15972eccac3,0,"g=1, cluster=clusterB"
