job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,final_accuracy,status
job-0bc1f00a105a,clusterA,ResNet-18,CIFAR-100,1,1769588410.237441,1769588410.303092,1769589425.165565,0.065651,1014.928124,59.050000,FAILED
job-1be744827dc2,clusterA,ResNet-18,CIFAR-100,1,1769588810.050805,1769588810.142359,1769589748.142289,0.091553,938.091483,62.990000,FAILED
job-a3f603ad4a40,clusterA,DeepSpeech2,ARCTIC,1,1769590176.159465,1769590177.048329,1769590343.270623,0.888864,167.111159,0.000000,FAILED
job-31ca071a9443,clusterB,DistilBERT,SST-2,1,1769588065.485023,1769588065.576056,1769590401.411548,0.091032,2335.926525,50.917431,FAILED
job-807632364818,clusterB,ResNet-18,CIFAR-100,1,1769589380.558879,1769589380.666349,1769590521.543693,0.107470,1140.984814,61.930000,FAILED
job-636952f28ede,clusterA,EfficientNetV2-S,MNIST,2,1769588063.246791,1769588063.364254,1769590676.354501,0.117463,2613.107710,99.380000,FAILED
job-7c70c674ff5e,clusterB,DistilBERT,SST-2,1,1769588716.523756,1769588716.626993,1769591203.878280,0.103237,2487.354523,50.917431,FAILED
job-5bb65e0d2cf7,clusterB,DistilBERT,SST-2,1,1769590571.863141,1769590572.112231,1769591209.096329,0.249091,637.233189,50.917431,PREEMPTED
job-47a0d712df67,clusterB,DistilBERT,SST-2,1,1769588628.885984,1769588629.001185,1769591222.477206,0.115201,2593.591223,50.917431,FAILED
job-19e76a7bcd79,clusterA,ResNet-50,CIFAR-10,1,1769589530.059290,1769589530.939415,1769591866.525720,0.880125,2336.466430,85.650000,FAILED
job-286bdd38487e,clusterA,DeepSpeech2,ARCTIC,1,1769591531.786898,1769591872.364547,1769592039.150173,340.577649,507.363275,0.000000,FAILED
job-847ca8e91357,clusterA,DistilBERT,SST-2,1,1769590750.161187,1769590751.152853,1769592547.996463,0.991666,1797.835276,50.917431,FAILED
job-c32adeb5dc90,clusterB,DenseNet-121,TinyImageNet,4,1769589474.646686,1769591228.282907,1769593306.576890,1753.636221,3831.930204,9.460000,FAILED
job-5bb65e0d2cf7,clusterB,DistilBERT,SST-2,1,1769590571.863141,1769590572.112231,1769593446.641511,0.249091,2874.778371,50.917431,FAILED
job-44033c137fca,clusterA,EfficientNetV2-S,MNIST,2,1769590793.503535,1769590794.204084,1769593493.279347,0.700549,2699.775812,54.570000,FAILED
job-ff23099b0490,clusterA,DistilBERT,SST-2,1,1769592124.248324,1769592124.400841,1769594312.905713,0.152517,2188.657388,50.917431,FAILED
job-8fddd7e82312,clusterA,DistilBERT,SST-2,1,1769592498.918935,1769592553.478142,1769594373.291575,54.559208,1874.372640,50.917431,FAILED
job-2b2bc998c34b,clusterA,DeepSpeech2,ARCTIC,1,1769594606.537215,1769594606.654066,1769594774.548782,0.116851,168.011567,3.271277,FAILED
job-5820c8bc08a9,clusterA,DeepSpeech2,ARCTIC,1,1769594681.486618,1769594681.583781,1769594847.909695,0.097163,166.423077,0.000000,FAILED
job-512a36b79641,clusterB,DenseNet-121,TinyImageNet,4,1769591630.958585,1769593452.681004,1769595300.485151,1821.722418,3669.526565,10.200000,FAILED
job-c2035056916a,clusterA,DeepSpeech2,ARCTIC,1,1769595243.567086,1769595243.974971,1769595407.084831,0.407885,163.517745,10.306235,FAILED
job-b85951c75515,clusterA,DistilBERT,SST-2,1,1769593797.376972,1769593797.471539,1769595585.808377,0.094567,1788.431405,50.917431,FAILED
job-f98f7d0c7967,clusterA,ResNet-18,CIFAR-100,1,1769595841.452051,1769595842.088432,1769596772.659065,0.636380,931.207013,60.230000,FAILED
job-eeea888a12d5,clusterB,DenseNet-121,TinyImageNet,4,1769594856.677142,1769595306.018912,1769597143.989245,449.341770,2287.312103,10.550000,FAILED
