job_id,cluster,model,dataset,world_size,train_time_sec,queued_sec,queued_calc,jct_sec,tct_calc,queued_diff,jct_diff,final_accuracy,suspicion_score,f_missing_ts,f_time_order,f_train_bad,f_queue_mis,f_jct_mis,f_acc_zero
job-a3f603ad4a40,clusterA,DeepSpeech2,ARCTIC,1,166.22229385375977,0.888864,0.8888640403747559,167.111159,167.11115789413452,4.037475587193029e-08,1.1058654649787059e-06,0.0,1,False,False,False,False,False,True
job-5820c8bc08a9,clusterA,DeepSpeech2,ARCTIC,1,166.3259139060974,0.097163,0.09716296195983887,166.423077,166.42307686805725,3.804016113218012e-08,1.3194275538808142e-07,0.0,1,False,False,False,False,False,True
job-286bdd38487e,clusterA,DeepSpeech2,ARCTIC,1,166.78562593460083,340.577649,340.5776491165161,507.363275,507.36327505111694,1.1651610520857503e-07,5.1116956001351355e-08,0.0,1,False,False,False,False,False,True
job-193b698f5849,clusterB,DeepSpeech2,ARCTIC,1,118.7280740737915,0.08789,0.0878899097442627,118.815964,118.81596398353577,9.0255737300593e-08,1.646422731482744e-08,0.0,1,False,False,False,False,False,True
job-e22f8bbc2d9a,clusterA,DistilBERT,SST-2,1,1774.3258810043335,670.961963,670.9619631767273,2445.287843,2445.287844181061,1.7672732610662933e-07,1.1810607247753069e-06,50.917431,0,False,False,False,False,False,False
job-ff23099b0490,clusterA,DistilBERT,SST-2,1,2188.504872083664,0.152517,0.15251708030700684,2188.657388,2188.657389163971,8.030700682226666e-08,1.1639708645816427e-06,50.917431,0,False,False,False,False,False,False
job-5bb65e0d2cf7,clusterB,DistilBERT,SST-2,1,2874.529279947281,0.249091,0.24908995628356934,2874.778371,2874.7783699035645,1.0437164306709157e-06,1.0964354260067921e-06,50.917431,0,False,False,False,False,False,False
job-f98f7d0c7967,clusterA,ResNet-18,CIFAR-100,1,930.5706329345703,0.63638,0.6363811492919922,931.207013,931.2070140838623,1.1492919922417855e-06,1.0838623438758077e-06,60.23,0,False,False,False,False,False,False
job-35f0b591c339,clusterA,EfficientNetV2-S,MNIST,2,2773.655189037323,0.384444,0.384443998336792,2774.039632,2774.03963303566,1.6632080157563678e-09,1.0356598068028688e-06,54.64,0,False,False,False,False,False,False
job-512a36b79641,clusterB,DenseNet-121,TinyImageNet,4,1847.8041470050812,1821.722418,1821.7224190235138,3669.526565,3669.526566028595,1.0235137324343668e-06,1.0285948519594967e-06,10.2,0,False,False,False,False,False,False
job-4fea8b4936a9,clusterA,ResNet-50,CIFAR-10,1,2325.0144350528717,426.827451,426.8274509906769,2751.841887,2751.8418860435486,9.323116501036566e-09,9.564514584781136e-07,85.03,0,False,False,False,False,False,False
job-47a0d712df67,clusterB,DistilBERT,SST-2,1,2593.476021051407,0.115201,0.11520099639892578,2593.591223,2593.591222047806,3.6010742165970555e-09,9.521941137791146e-07,50.917431,0,False,False,False,False,False,False
job-cccb578b9396,clusterA,DistilBERT,SST-2,1,1824.561462879181,1.030716,1.0307161808013916,1825.59218,1825.5921790599823,1.808013916360096e-07,9.400177987117786e-07,50.917431,0,False,False,False,False,False,False
job-7c70c674ff5e,clusterB,DistilBERT,SST-2,1,2487.25128698349,0.103237,0.10323691368103027,2487.354523,2487.354523897171,8.631896972199904e-08,8.971710485639051e-07,50.917431,0,False,False,False,False,False,False
job-d1f077f877fa,clusterA,ResNet-50,CIFAR-10,2,1365.8165380954742,946.144921,946.1449210643768,2311.96146,2311.961459159851,6.43768771624309e-08,8.401489139941987e-07,42.81,0,False,False,False,False,False,False
job-1be744827dc2,clusterA,ResNet-18,CIFAR-100,1,937.9999299049377,0.091553,0.09155392646789551,938.091483,938.0914838314056,9.264678955123173e-07,8.314056003655423e-07,62.99,0,False,False,False,False,False,False
job-13c0fa5bb6e2,clusterA,DeepSpeech2,ARCTIC,1,164.1262891292572,1368.496535,1368.49653506279,1532.622824,1532.6228241920471,6.278992259467486e-08,1.9204708223696798e-07,11.020366,0,False,False,False,False,False,False
job-807632364818,clusterB,ResNet-18,CIFAR-100,1,1140.8773441314697,0.10747,0.10747003555297852,1140.984814,1140.9848141670227,3.5552978519537426e-08,1.6702279026503675e-07,61.93,0,False,False,False,False,False,False
job-847ca8e91357,clusterA,DistilBERT,SST-2,1,1796.843610048294,0.991666,0.9916660785675049,1797.835276,1797.8352761268616,7.856750483536956e-08,1.2686155059782322e-07,50.917431,0,False,False,False,False,False,False
job-636952f28ede,clusterA,EfficientNetV2-S,MNIST,2,2612.9902470111847,0.117463,0.1174631118774414,2613.10771,2613.107710123062,1.1187744140828126e-07,1.2306190910749137e-07,99.38,0,False,False,False,False,False,False
job-31ca071a9443,clusterB,DistilBERT,SST-2,1,2335.8354918956757,0.091032,0.0910329818725586,2335.926525,2335.926524877548,9.818725585919452e-07,1.2245163816260174e-07,50.917431,0,False,False,False,False,False,False
job-2b2bc998c34b,clusterA,DeepSpeech2,ARCTIC,1,167.8947160243988,0.116851,0.1168510913848877,168.011567,168.0115671157837,9.138488769877551e-08,1.1578367775655352e-07,3.271277,0,False,False,False,False,False,False
