ts,event,job_id,queue_len,note
2025-12-31 16:04:05,enqueue,job-f7d7e44edc5b,7,src=HOME kind=HOME cluster=clusterA qlen_home=7 qlen_global=7 inserted=True
2025-12-31 16:12:18,enqueue,job-4cf423c90ae7,8,src=HOME kind=HOME cluster=clusterA qlen_home=8 qlen_global=8 inserted=True
2025-12-31 16:18:33,enqueue,job-f97b75fa3a12,9,src=HOME kind=HOME cluster=clusterA qlen_home=9 qlen_global=9 inserted=True
2025-12-31 16:18:52,dequeue_global,job-0dc6f549c1de,8,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=8 clusterq_len=8 req_id=job-0dc6f549c1de-baae6bc797 queued_delta=2341.384432
2025-12-31 16:18:52,dequeue_home,job-0dc6f549c1de,8,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-0dc6f549c1de-baae6bc797 queued_delta=2341.384432
2025-12-31 16:18:53,dequeue_global,job-e729e33238db,7,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=7 clusterq_len=7 req_id=job-e729e33238db-9e5b547f1e queued_delta=1947.268188
2025-12-31 16:18:53,dequeue_home,job-e729e33238db,7,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-e729e33238db-9e5b547f1e queued_delta=1947.268188
2025-12-31 16:24:37,dequeue_global,job-dfebb9d9381a,9,cluster=clusterA g=4 home_qcid=clusterA prev_kind=HOME home_len=6 clusterq_len=6 req_id=job-dfebb9d9381a-dcc91146bc queued_delta=3388.128985
2025-12-31 16:24:37,dequeue_home,job-dfebb9d9381a,6,home_qcid=clusterA run_cluster=clusterA g=4 req_id=job-dfebb9d9381a-dcc91146bc queued_delta=3388.128985
2025-12-31 16:24:37,queue_dequeued_by_hol,job-dfebb9d9381a,9,cluster=clusterA g=4 kind0=HOME qcid0=clusterA qlen_eligible=9 qlen_home=6 qlen_clusterq=6 qlen_global=9
2025-12-31 16:27:51,dequeue_global,job-79b114936b0e,8,cluster=clusterB g=1 home_qcid=clusterA prev_kind=None home_len=6 clusterq_len=0 req_id=job-79b114936b0e-90ce8adadd queued_delta=204.448821
2025-12-31 16:27:51,dequeue_home,job-79b114936b0e,6,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-79b114936b0e-90ce8adadd queued_delta=204.448821
2025-12-31 16:27:51,queue_dequeued_by_hol,job-79b114936b0e,2,cluster=clusterB g=1 kind0= qcid0= qlen_eligible=2 qlen_home=0 qlen_clusterq=0 qlen_global=8
2025-12-31 16:29:51,dequeue_global,job-0dc6f549c1de,7,cluster=clusterB g=1 home_qcid=clusterA prev_kind=None home_len=6 clusterq_len=0 req_id=job-0dc6f549c1de-247c67a556 queued_delta=324.388022
2025-12-31 16:29:51,dequeue_home,job-0dc6f549c1de,6,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-0dc6f549c1de-247c67a556 queued_delta=324.388022
2025-12-31 16:29:51,queue_dequeued_by_hol,job-0dc6f549c1de,1,cluster=clusterB g=1 kind0= qcid0= qlen_eligible=1 qlen_home=0 qlen_clusterq=0 qlen_global=7
2025-12-31 16:40:11,enqueue,job-6f837c056b95,7,src=HOME kind=HOME cluster=clusterA qlen_home=7 qlen_global=8 inserted=True
2025-12-31 16:41:02,enqueue,job-568ad10280f0,8,src=HOME kind=HOME cluster=clusterA qlen_home=8 qlen_global=9 inserted=True
2025-12-31 16:41:21,dequeue_global,job-e729e33238db,8,cluster=clusterB g=1 home_qcid=clusterA prev_kind=None home_len=8 clusterq_len=0 req_id=job-e729e33238db-b15070bd13 queued_delta=1014.151336
2025-12-31 16:41:21,dequeue_home,job-e729e33238db,8,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-e729e33238db-b15070bd13 queued_delta=1014.151336
2025-12-31 16:41:21,queue_dequeued_by_hol,job-e729e33238db,0,cluster=clusterB g=1 kind0= qcid0= qlen_eligible=0 qlen_home=0 qlen_clusterq=0 qlen_global=8
2025-12-31 16:41:21,dequeue_global,job-4cf423c90ae7,7,cluster=clusterB g=1 home_qcid=clusterA prev_kind=HOME home_len=7 clusterq_len=0 req_id=job-4cf423c90ae7-73c5282802 queued_delta=1743.198945
2025-12-31 16:41:21,dequeue_home,job-4cf423c90ae7,7,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-4cf423c90ae7-73c5282802 queued_delta=1743.198945
2025-12-31 16:53:40,enqueue,job-469089faa65b,8,src=HOME kind=HOME cluster=clusterA qlen_home=8 qlen_global=8 inserted=True
2025-12-31 16:54:53,enqueue,job-53057db2c0ae,9,src=HOME kind=HOME cluster=clusterA qlen_home=9 qlen_global=9 inserted=True
2025-12-31 16:57:48,enqueue,job-f2eff02e9ae3,10,src=HOME kind=HOME cluster=clusterA qlen_home=10 qlen_global=10 inserted=True
2025-12-31 16:59:12,dequeue_global,job-568ad10280f0,9,cluster=clusterB g=1 home_qcid=clusterA prev_kind=HOME home_len=9 clusterq_len=0 req_id=job-568ad10280f0-afc863c086 queued_delta=1090.305945
2025-12-31 16:59:12,dequeue_home,job-568ad10280f0,9,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-568ad10280f0-afc863c086 queued_delta=1090.305945
2025-12-31 17:02:41,enqueue,job-38b41690f860,10,src=HOME kind=HOME cluster=clusterA qlen_home=10 qlen_global=10 inserted=True
2025-12-31 17:04:15,enqueue,job-a23253b8e165,11,src=HOME kind=HOME cluster=clusterA qlen_home=11 qlen_global=11 inserted=True
2025-12-31 17:14:13,enqueue,job-538be18e13ff,12,src=HOME kind=HOME cluster=clusterA qlen_home=12 qlen_global=12 inserted=True
2025-12-31 17:15:17,enqueue,job-4f8aefcba88c,13,src=HOME kind=HOME cluster=clusterA qlen_home=13 qlen_global=13 inserted=True
2025-12-31 17:20:16,enqueue,job-b126a5271bb7,14,src=HOME kind=HOME cluster=clusterA qlen_home=14 qlen_global=14 inserted=True
2025-12-31 17:26:05,dequeue_global,job-4c2e9977a89c,13,cluster=clusterA g=2 home_qcid=clusterA prev_kind=HOME home_len=13 clusterq_len=13 req_id=job-4c2e9977a89c-86ce6913d1 queued_delta=5800.769099
2025-12-31 17:26:05,dequeue_home,job-4c2e9977a89c,13,home_qcid=clusterA run_cluster=clusterA g=2 req_id=job-4c2e9977a89c-86ce6913d1 queued_delta=5800.769099
2025-12-31 17:26:05,queue_dequeued_by_hol,job-4c2e9977a89c,13,cluster=clusterA g=2 kind0=HOME qcid0=clusterA qlen_eligible=13 qlen_home=13 qlen_clusterq=13 qlen_global=13
2025-12-31 17:26:05,dequeue_global,job-4f8aefcba88c,12,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=12 clusterq_len=12 req_id=job-4f8aefcba88c-500886c292 queued_delta=648.187463
2025-12-31 17:26:05,dequeue_home,job-4f8aefcba88c,12,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-4f8aefcba88c-500886c292 queued_delta=648.187463
2025-12-31 17:26:05,dequeue_global,job-538be18e13ff,11,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=11 clusterq_len=11 req_id=job-538be18e13ff-096dd0f6fd queued_delta=711.752215
2025-12-31 17:26:05,dequeue_home,job-538be18e13ff,11,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-538be18e13ff-096dd0f6fd queued_delta=711.752215
2025-12-31 17:43:26,enqueue,job-5f860341e763,12,src=HOME kind=HOME cluster=clusterA qlen_home=12 qlen_global=12 inserted=True
2025-12-31 17:43:37,enqueue,job-f3048b85e560,13,src=HOME kind=HOME cluster=clusterA qlen_home=13 qlen_global=13 inserted=True
2025-12-31 17:51:19,dequeue_global,job-13cc60deab1b,12,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=12 clusterq_len=12 req_id=job-13cc60deab1b-5fd885d755 queued_delta=7271.290539
2025-12-31 17:51:19,dequeue_home,job-13cc60deab1b,12,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-13cc60deab1b-5fd885d755 queued_delta=7271.290539
2025-12-31 17:51:19,queue_dequeued_by_hol,job-13cc60deab1b,12,cluster=clusterA g=1 kind0=HOME qcid0=clusterA qlen_eligible=12 qlen_home=12 qlen_clusterq=12 qlen_global=12
2025-12-31 17:51:47,enqueue,job-69749c54c528,13,src=HOME kind=HOME cluster=clusterA qlen_home=13 qlen_global=13 inserted=True
2025-12-31 18:02:45,dequeue_global,job-5f860341e763,12,cluster=clusterB g=1 home_qcid=clusterA prev_kind=HOME home_len=12 clusterq_len=0 req_id=job-5f860341e763-cdcfe94017 queued_delta=1158.267349
2025-12-31 18:02:45,dequeue_home,job-5f860341e763,12,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-5f860341e763-cdcfe94017 queued_delta=1158.267349
2025-12-31 18:02:50,dequeue_global,job-a23253b8e165,11,cluster=clusterB g=1 home_qcid=clusterA prev_kind=HOME home_len=11 clusterq_len=0 req_id=job-a23253b8e165-9aa4b5f9c5 queued_delta=3515.072233
2025-12-31 18:02:50,dequeue_home,job-a23253b8e165,11,home_qcid=clusterA run_cluster=clusterB g=1 req_id=job-a23253b8e165-9aa4b5f9c5 queued_delta=3515.072233
2025-12-31 18:09:27,enqueue,job-313b5e053ff7,12,src=HOME kind=HOME cluster=clusterA qlen_home=12 qlen_global=12 inserted=True
2025-12-31 18:18:32,enqueue,job-20488c92db18,13,src=HOME kind=HOME cluster=clusterA qlen_home=13 qlen_global=13 inserted=True
2025-12-31 18:25:25,enqueue,job-6c2b198632ed,14,src=HOME kind=HOME cluster=clusterA qlen_home=14 qlen_global=14 inserted=True
2025-12-31 18:30:28,enqueue,job-d331d3270221,15,src=HOME kind=HOME cluster=clusterA qlen_home=15 qlen_global=15 inserted=True
2025-12-31 18:31:15,enqueue,job-ac4b799b24be,16,src=HOME kind=HOME cluster=clusterA qlen_home=16 qlen_global=16 inserted=True
2025-12-31 18:32:09,enqueue,job-8bacb84d9264,17,src=HOME kind=HOME cluster=clusterA qlen_home=17 qlen_global=17 inserted=True
