ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-19 20:03:22,submitted,job-856ae1e5bd3e,-,2,"SJF g=2, T_est=1036.00s, batch=64","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This is a short experiment, so give it quick access to GPUs, even small ones."", ""est_runtime_sec"": 1036.0}"
2025-11-19 20:03:31,submitted,job-11c3b7776fdd,-,1,"SJF g=1, T_est=4072.20s, batch=64","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption."", ""est_runtime_sec"": 4072.2000000000003}"
2025-11-19 20:08:07,submitted,job-3a8c4ee7d728,-,4,"SJF g=4, T_est=71.20s, batch=32","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 71.2}"
2025-11-19 20:08:12,submitted,job-6a3ce30a1090,-,2,"SJF g=2, T_est=2868.80s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption."", ""est_runtime_sec"": 2868.8}"
2025-11-19 20:08:19,submitted,job-8908422ab1b6,-,1,"SJF g=1, T_est=64.00s, batch=32","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 64.0}"
2025-11-19 20:15:44,submitted,job-e1146e4f36d0,-,2,"SJF g=2, T_est=2868.80s, batch=32","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 2868.8}"
2025-11-19 20:17:06,finished,job-10144083586e,clusterB,2,exit=0,"{""end_ts"": 1763551026.8957896, ""jct_sec"": 10256.689744472504, ""queued_sec"": 2192.7842922210693}"
2025-11-19 20:17:07,started,job-21fb9380f552,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_e'], queued_sec=1448.8, T_est=64.00s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_e""], ""queued_sec"": 1448.7617573738098, ""started_ts"": 1763551027.9166791, ""est_runtime_sec"": 64.0}"
2025-11-19 20:17:07,started,job-8908422ab1b6,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_f'], queued_sec=528.2, T_est=64.00s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_f""], ""queued_sec"": 528.2187964916229, ""started_ts"": 1763551027.9542181, ""est_runtime_sec"": 64.0}"
2025-11-19 20:21:48,finished,job-8908422ab1b6,clusterB,1,exit=0,"{""end_ts"": 1763551308.335775, ""jct_sec"": 280.3815567493439, ""queued_sec"": 528.2187964916229}"
2025-11-19 20:21:49,started,job-4bde1e57e0e0,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_f'], queued_sec=2032.7, T_est=2303.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_f""], ""queued_sec"": 2032.6690065860748, ""started_ts"": 1763551309.3127284, ""est_runtime_sec"": 2303.8}"
2025-11-19 20:22:38,finished,job-21fb9380f552,clusterB,1,exit=0,"{""end_ts"": 1763551358.203836, ""jct_sec"": 330.28715682029724, ""queued_sec"": 1448.7617573738098}"
2025-11-19 20:22:38,started,job-11c3b7776fdd,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_e'], queued_sec=1147.1, T_est=4072.20s","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_e""], ""queued_sec"": 1147.1014850139618, ""started_ts"": 1763551358.4226625, ""est_runtime_sec"": 4072.2000000000003}"
2025-11-19 20:31:45,submitted,job-7059baab3ed6,-,2,"SJF g=2, T_est=1945.60s, batch=128","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else."", ""est_runtime_sec"": 1945.6}"
2025-11-19 20:33:36,submitted,job-eb664167d5ae,-,1,"SJF g=1, T_est=2303.80s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else."", ""est_runtime_sec"": 2303.8}"
2025-11-19 20:33:59,finished,job-d3b3c605ddf5,clusterA,1,exit=0,"{""end_ts"": 1763552039.6316366, ""jct_sec"": 8339.116423368454, ""queued_sec"": 2881.1302285194397}"
2025-11-19 20:34:00,started,job-eb664167d5ae,clusterA,1,"SJF started_on=clusterA, g=1, nodes=['node_a'], queued_sec=23.6, T_est=2303.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a""], ""queued_sec"": 23.579090356826782, ""started_ts"": 1763552040.2250009, ""est_runtime_sec"": 2303.8}"
2025-11-19 20:40:07,submitted,job-1b6439e388f4,-,1,"SJF g=1, T_est=5941.80s, batch=64","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much."", ""est_runtime_sec"": 5941.799999999999}"
2025-11-19 20:40:53,submitted,job-1495438a1896,-,1,"SJF g=1, T_est=2303.80s, batch=32","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall."", ""est_runtime_sec"": 2303.8}"
2025-11-19 21:01:55,finished,job-eb664167d5ae,clusterA,1,exit=0,"{""end_ts"": 1763553715.3923354, ""jct_sec"": 1675.1673345565796, ""queued_sec"": 23.579090356826782}"
2025-11-19 21:01:56,started,job-1495438a1896,clusterA,1,"SJF started_on=clusterA, g=1, nodes=['node_a'], queued_sec=1262.4, T_est=2303.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a""], ""queued_sec"": 1262.3595926761627, ""started_ts"": 1763553716.1608925, ""est_runtime_sec"": 2303.8}"
2025-11-19 21:18:02,finished,job-34d52e9251fe,clusterA,2,exit=0,"{""end_ts"": 1763554682.4710164, ""jct_sec"": 7201.569014310837, ""queued_sec"": 3446.7603023052216}"
2025-11-19 21:18:03,started,job-856ae1e5bd3e,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_c', 'node_d'], queued_sec=4481.2, T_est=1036.00s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c"", ""node_d""], ""queued_sec"": 4481.192861318588, ""started_ts"": 1763554683.2739494, ""est_runtime_sec"": 1036.0}"
2025-11-19 21:22:29,finished,job-4bde1e57e0e0,clusterB,1,exit=0,"{""end_ts"": 1763554949.0382068, ""jct_sec"": 3639.725478410721, ""queued_sec"": 2032.6690065860748}"
2025-11-19 21:22:29,started,job-65083ff18988,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_f'], queued_sec=5271.9, T_est=5941.80s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_f""], ""queued_sec"": 5271.891772270203, ""started_ts"": 1763554949.6028786, ""est_runtime_sec"": 5941.799999999999}"
2025-11-19 21:31:56,finished,job-856ae1e5bd3e,clusterA,2,exit=0,"{""end_ts"": 1763555516.404277, ""jct_sec"": 833.1303277015686, ""queued_sec"": 4481.192861318588}"
2025-11-19 21:31:57,started,job-7059baab3ed6,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_c', 'node_d'], queued_sec=3611.7, T_est=1945.60s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_c"", ""node_d""], ""queued_sec"": 3611.721685886383, ""started_ts"": 1763555517.2460723, ""est_runtime_sec"": 1945.6}"
2025-11-19 21:39:26,finished,job-11c3b7776fdd,clusterB,1,exit=0,"{""end_ts"": 1763555966.0619278, ""jct_sec"": 4607.639265298843, ""queued_sec"": 1147.1014850139618}"
2025-11-19 21:39:26,started,job-1b6439e388f4,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_e'], queued_sec=3559.0, T_est=5941.80s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_e""], ""queued_sec"": 3558.965487241745, ""started_ts"": 1763555966.8067203, ""est_runtime_sec"": 5941.799999999999}"
2025-11-19 21:52:26,finished,job-7059baab3ed6,clusterA,2,exit=0,"{""end_ts"": 1763556746.4106722, ""jct_sec"": 1229.1645998954773, ""queued_sec"": 3611.721685886383}"
2025-11-19 21:52:26,started,job-427f70585edb,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_c', 'node_d'], queued_sec=11371.4, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_c"", ""node_d""], ""queued_sec"": 11371.36290025711, ""started_ts"": 1763556746.692114, ""est_runtime_sec"": 2868.8}"
2025-11-19 21:55:29,finished,job-1495438a1896,clusterA,1,exit=0,"{""end_ts"": 1763556929.8562288, ""jct_sec"": 3213.695336341858, ""queued_sec"": 1262.3595926761627}"
2025-11-19 22:30:59,finished,job-6beb14fe9503,clusterB,2,exit=0,"{""end_ts"": 1763559059.848346, ""jct_sec"": 10057.208832502365, ""queued_sec"": 4676.26534819603}"
2025-11-19 22:31:00,started,job-f33af1fcc4c2,clusterB,2,"SJF started_on=clusterB, g=2, nodes=['node_g', 'node_h'], queued_sec=10738.7, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_g"", ""node_h""], ""queued_sec"": 10738.716623544693, ""started_ts"": 1763559060.315684, ""est_runtime_sec"": 2868.8}"
2025-11-19 22:55:07,finished,job-427f70585edb,clusterA,2,exit=0,"{""end_ts"": 1763560507.306038, ""jct_sec"": 3760.6139237880707, ""queued_sec"": 11371.36290025711}"
2025-11-19 22:55:08,started,job-6a3ce30a1090,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_c'], queued_sec=10015.2, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a"", ""node_c""], ""queued_sec"": 10015.217050790787, ""started_ts"": 1763560508.0116973, ""est_runtime_sec"": 2868.8}"
2025-11-19 23:28:18,finished,job-1b6439e388f4,clusterB,1,exit=0,"{""end_ts"": 1763562498.9648106, ""jct_sec"": 6532.158090353012, ""queued_sec"": 3558.965487241745}"
2025-11-19 23:38:27,finished,job-3f2533ccf131,clusterA,1,exit=0,"{""end_ts"": 1763563107.1702335, ""jct_sec"": 14240.727153778076, ""queued_sec"": 0.8219254016876221}"
2025-11-19 23:38:27,started,job-e1146e4f36d0,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_b', 'node_d'], queued_sec=12163.6, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_b"", ""node_d""], ""queued_sec"": 12163.573170423508, ""started_ts"": 1763563107.9121456, ""est_runtime_sec"": 2868.8}"
2025-11-19 23:59:15,finished,job-6a3ce30a1090,clusterA,2,exit=0,"{""end_ts"": 1763564355.6166003, ""jct_sec"": 3847.604902982712, ""queued_sec"": 10015.217050790787}"
2025-11-19 23:59:16,started,job-a32f9d9068e7,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_c'], queued_sec=14732.4, T_est=4036.20s","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_a"", ""node_c""], ""queued_sec"": 14732.416162014008, ""started_ts"": 1763564356.3189778, ""est_runtime_sec"": 4036.2}"
2025-11-20 00:33:45,finished,job-65083ff18988,clusterB,1,exit=0,"{""end_ts"": 1763566425.8717284, ""jct_sec"": 11476.268849849701, ""queued_sec"": 5271.891772270203}"
2025-11-20 00:33:46,started,job-aad4df65f687,clusterB,2,"SJF started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=26485.3, T_est=5652.00s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 26485.278772354126, ""started_ts"": 1763566426.6698806, ""est_runtime_sec"": 5652.0}"
2025-11-20 00:40:50,finished,job-a32f9d9068e7,clusterA,2,exit=0,"{""end_ts"": 1763566850.8663886, ""jct_sec"": 2494.5474107265472, ""queued_sec"": 14732.416162014008}"
2025-11-20 01:17:21,finished,job-f33af1fcc4c2,clusterB,2,exit=0,"{""end_ts"": 1763569041.3711762, ""jct_sec"": 9981.055492162704, ""queued_sec"": 10738.716623544693}"
2025-11-20 01:45:01,finished,job-aad4df65f687,clusterB,2,exit=0,"{""end_ts"": 1763570701.7503152, ""jct_sec"": 4275.080434560776, ""queued_sec"": 26485.278772354126}"
2025-11-20 01:45:02,started,job-1c06f7494399,clusterB,4,"SJF started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=29981.5, T_est=71.20s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 29981.541561603546, ""started_ts"": 1763570702.5630953, ""est_runtime_sec"": 71.2}"
2025-11-20 01:47:32,finished,job-e1146e4f36d0,clusterA,2,exit=0,"{""end_ts"": 1763570852.161152, ""jct_sec"": 7744.249006271362, ""queued_sec"": 12163.573170423508}"
2025-11-20 01:47:32,started,job-2193ef4c949a,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=23589.8, T_est=71.20s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 23589.81585407257, ""started_ts"": 1763570852.7935696, ""est_runtime_sec"": 71.2}"
2025-11-20 01:50:32,finished,job-2193ef4c949a,clusterA,4,exit=0,"{""end_ts"": 1763571032.383292, ""jct_sec"": 179.58972239494324, ""queued_sec"": 23589.81585407257}"
2025-11-20 01:50:33,started,job-3a8c4ee7d728,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=20545.2, T_est=71.20s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 20545.245086431503, ""started_ts"": 1763571033.0613961, ""est_runtime_sec"": 71.2}"
2025-11-20 01:51:24,finished,job-1c06f7494399,clusterB,4,exit=0,"{""end_ts"": 1763571084.080735, ""jct_sec"": 381.5176396369934, ""queued_sec"": 29981.541561603546}"
2025-11-20 01:51:26,started,job-44aae1286451,clusterB,4,"SJF started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=31321.7, T_est=1103.60s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 31321.697915315628, ""started_ts"": 1763571086.020516, ""est_runtime_sec"": 1103.6}"
2025-11-20 01:52:31,finished,job-3a8c4ee7d728,clusterA,4,exit=0,"{""end_ts"": 1763571151.7514472, ""jct_sec"": 118.69005107879639, ""queued_sec"": 20545.245086431503}"
2025-11-20 01:52:32,started,job-6d620adff21c,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=33540.1, T_est=1932.00s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 33540.07053875923, ""started_ts"": 1763571152.1649795, ""est_runtime_sec"": 1932.0}"
2025-11-20 02:04:32,finished,job-44aae1286451,clusterB,4,exit=0,"{""end_ts"": 1763571872.8758852, ""jct_sec"": 786.8553693294525, ""queued_sec"": 31321.697915315628}"
2025-11-20 02:04:33,started,job-77d2ecd04b65,clusterB,4,"SJF started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=33865.3, T_est=6158.40s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 33865.31352305412, ""started_ts"": 1763571873.0351574, ""est_runtime_sec"": 6158.400000000001}"
2025-11-20 02:24:15,finished,job-6d620adff21c,clusterA,4,exit=0,"{""end_ts"": 1763573055.3243213, ""jct_sec"": 1903.1593418121338, ""queued_sec"": 33540.07053875923}"
2025-11-20 02:24:16,started,job-4d417de02b19,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=23346.3, T_est=6158.40s","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 23346.2851626873, ""started_ts"": 1763573056.3599727, ""est_runtime_sec"": 6158.400000000001}"
2025-11-20 02:46:25,finished,job-77d2ecd04b65,clusterB,4,exit=0,"{""end_ts"": 1763574385.1679308, ""jct_sec"": 2512.132773399353, ""queued_sec"": 33865.31352305412}"
2025-11-20 02:58:42,finished,job-4d417de02b19,clusterA,4,exit=0,"{""end_ts"": 1763575122.7075171, ""jct_sec"": 2066.3475444316864, ""queued_sec"": 23346.2851626873}"
