job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec_calc,run_hours,cost_usd,status
job-5a3959efe243,clusterA,EfficientNetV2-S,MNIST,2,1769202353.539291,1769202353.7883482,1769204888.1113474,0.2490572929382324,2534.572056531906,0.7039786108997133,14.079572217994265,completed
job-330d763103a8,clusterA,DistilBERT,SST-2,2,1769202354.0620606,1769202354.8269205,1769210168.4050014,0.764859676361084,7814.3429408073425,2.1704383558034896,43.4087671160698,completed
job-b561a4c2d7de,clusterB,ResNet-18,CIFAR-100,4,1769202697.2290702,1769202702.930985,1769203287.079872,5.7019147872924805,589.8508017063141,0.1622635796997282,9.735814781983693,completed
job-c20e9850b27a,clusterB,DistilBERT,SST-2,1,1769202914.1322036,1769204533.961548,1769207142.210413,1619.8293442726135,4228.078209400177,0.724513573580318,10.86770360370477,completed
job-a31a8eb50482,clusterB,DistilBERT,SST-2,1,1769203000.0214114,1769204533.9831934,1769209019.4298823,1533.9617819786072,6019.408470869064,1.2459574135806826,18.689361203710238,completed
job-413d6b1f6836,clusterB,ResNet-18,CIFAR-100,4,1769203092.8681068,1769203294.530033,1769204533.258073,201.66192650794983,1440.389966249466,0.3440911222166485,20.645467332998912,completed
job-cba67ed53b55,clusterB,ResNet-18,CIFAR-100,1,1769203662.5691369,1769204533.9420314,1769205796.548552,871.372894525528,2133.979415178299,0.3507240335146586,5.260860502719879,completed
job-d78401dae396,clusterB,DenseNet-121,TinyImageNet,4,1769203755.4640353,1769224667.6778846,1769228290.4571738,20912.213849306107,24534.993138551712,1.0063275803460014,60.37965482076009,completed
job-e766c6c6ccaa,clusterA,ResNet-50,CIFAR-10,2,1769203810.192073,1769204888.446533,1769206104.3244822,1078.254459857941,2294.132409095764,0.3377438747882843,6.754877495765687,completed
job-bb6950271a09,clusterB,DeepSpeech2,ARCTIC,1,1769204455.3269274,1769204533.925378,1769204693.4181254,78.59845066070557,238.0911979675293,0.044303540918562145,0.6645531137784322,completed
job-04a0d8c50910,clusterB,DistilBERT,SST-2,1,1769204849.4702,1769204850.3587246,1769207496.0411506,0.8885245323181152,2646.5709505081177,0.7349117849932777,11.023676774899165,completed
job-41d9f31fde9e,clusterA,DistilBERT,SST-2,2,1769205026.5420823,1769208631.979757,1769216109.294307,3605.4376747608185,11082.752224683762,2.07703181942304,41.5406363884608,completed
job-2e63e0db8f89,clusterA,EfficientNetV2-S,MNIST,2,1769205069.1969516,1769206104.8425837,1769208631.815375,1035.6456320285797,3562.618423461914,0.7019368865092596,14.038737730185192,completed
job-dc544ffd5d65,clusterA,DeepSpeech2,ARCTIC,4,1769205806.175185,1769223657.2356336,1769223842.0265214,17851.060448646545,18035.851336479187,0.051330802175733777,2.0532320870293512,completed
job-d4eeb8d86d5d,clusterA,DenseNet-121,TinyImageNet,4,1769205904.538404,1769226195.4555857,1769228296.477876,20290.91718173027,22391.939471960068,0.5836173028416104,23.344692113664415,completed
job-3b7a597e4983,clusterB,DistilBERT,SST-2,1,1769206396.960821,1769206397.361301,1769210120.5835743,0.4004802703857422,3723.622753381729,1.0342284092638228,15.51342613895734,completed
job-2d29632b5233,clusterB,DistilBERT,SST-2,1,1769206770.038114,1769207143.2218657,1769209589.3953712,373.18375158309937,2819.357257127762,0.6794926404290729,10.192389606436093,completed
job-0c0c275080c0,clusterB,DistilBERT,SST-2,2,1769208067.4611816,1769209770.4090383,1769213207.849986,1702.9478566646576,5140.38880443573,0.9548447077141867,28.6453412314256,completed
job-40fc4265740d,clusterB,EfficientNetV2-S,MNIST,1,1769208116.4444926,1769208117.3458412,1769212430.6785476,0.90134859085083,4314.234055042267,1.1981479740142822,17.972219610214232,completed
job-3f257c64accb,clusterA,DeepSpeech2,ARCTIC,4,1769208873.3291304,1769223842.527352,1769224152.3602045,14969.198221445084,15279.031074047089,0.08606468121210734,3.442587248484293,completed
job-aeebb3e5c251,clusterA,DeepSpeech2,ARCTIC,4,1769208945.826101,1769224152.9535685,1769224282.5104368,15207.127467393875,15336.684335708618,0.03598801897631751,1.4395207590527004,completed
job-15494aab33c9,clusterB,DenseNet-121,TinyImageNet,4,1769209119.2918346,1769228290.8353677,1769230617.6365736,19171.543533086777,21498.344738960266,0.6463336682981915,38.78002009789149,completed
job-ea3dd73591d5,clusterA,DenseNet-121,TinyImageNet,4,1769209411.5300417,1769228296.925038,1769232045.197702,18885.394996643063,22633.66766023636,1.041186851064364,41.64747404257456,completed
job-ce75ef86b496,clusterB,DeepSpeech2,ARCTIC,1,1769209503.543744,1769209504.0324583,1769209770.0622537,0.4887144565582275,266.51850962638855,0.07389716539118026,1.108457480867704,completed
job-db853cb731d8,clusterB,ResNet-18,CIFAR-100,1,1769210100.7192864,1769210120.829046,1769211201.5275266,20.10975956916809,1100.8082401752472,0.3001940223905775,4.502910335858663,completed
job-fd56190247f8,clusterA,DistilBERT,SST-2,1,1769210162.8108828,1769210168.9150178,1769214032.2560558,6.104135036468506,3869.445173025131,1.073150288330184,10.73150288330184,completed
job-859338c113d6,clusterA,ResNet-50,CIFAR-10,1,1769210460.4917724,1769210461.2759595,1769212765.9202645,0.7841873168945312,2305.4284920692444,0.6401789736085468,6.401789736085468,completed
job-f9789e2f2993,clusterB,EfficientNetV2-S,MNIST,1,1769211850.176897,1769211850.8965373,1769216116.2288628,0.7196402549743652,4266.051965713501,1.1848145348495907,17.77221802274386,completed
job-5c1b02f34261,clusterA,ResNet-50,CIFAR-10,4,1769211858.5499427,1769224283.1735902,1769226194.4047728,12424.6236474514,14335.854830026627,0.5308975507153405,21.23590202861362,completed
job-9abdfac6a7ce,clusterB,ResNet-50,CIFAR-10,2,1769212348.151017,1769213208.4835796,1769214582.741469,860.3325626850128,2234.5904519557953,0.38173830257521735,11.45214907725652,completed
job-874412c321c6,clusterB,DeepSpeech2,ARCTIC,2,1769213406.774876,1769214583.1374056,1769214772.936693,1176.36252951622,1366.1618168354034,0.05272202425532871,1.5816607276598613,completed
job-dd8fe71c768e,clusterA,DistilBERT,SST-2,1,1769213950.7889776,1769213951.3635633,1769217180.297769,0.5745856761932373,3229.508791446686,0.8969261682695813,8.969261682695812,completed
job-79f832bc774f,clusterB,DistilBERT,SST-2,2,1769214361.8132584,1769214773.4435534,1769220363.158622,411.63029503822327,6001.345363616943,1.5526986301607555,46.580958904822666,completed
job-ee7029674ea8,clusterB,DenseNet-121,TinyImageNet,4,1769214664.3281837,1769230618.637082,1769234220.944421,15954.308898210526,19556.616237401962,1.0006409274869494,60.038455649216964,completed
job-1706057ab676,clusterA,DistilBERT,SST-2,2,1769214709.0769842,1769219778.5341609,1769223656.771824,5069.457176685333,8947.694839715958,1.077288239730729,21.54576479461458,completed
job-a7031c8d4524,clusterA,EfficientNetV2-S,MNIST,1,1769214762.8941777,1769214763.3777003,1769218831.9976974,0.4835226535797119,4069.103519678116,1.1301722213957044,11.301722213957044,completed
job-95eec1487cfb,clusterB,ResNet-18,CIFAR-100,1,1769214795.2695851,1769214795.4988797,1769215971.0620086,0.2292945384979248,1175.7924234867096,0.32654531359672545,4.898179703950881,completed
job-2ac36db6c43b,clusterB,DistilBERT,SST-2,1,1769215287.2781763,1769216117.0932195,1769219098.9754412,829.8150432109833,3811.6972649097443,0.8283006171385447,12.42450925707817,completed
job-c11ec5ef0ef6,clusterB,DeepSpeech2,ARCTIC,1,1769215296.5189784,1769215971.8521037,1769216346.4583695,675.3331251144409,1049.9393911361694,0.10405729605091943,1.5608594407637915,completed
job-82528d5be2d6,clusterA,DenseNet-121,TinyImageNet,4,1769215573.0077984,1769232045.3227077,1769239217.2967913,16472.314909219742,23644.288992881775,1.9922150232394535,79.68860092957814,completed
job-2e3f7a2c8a4c,clusterA,DistilBERT,SST-2,1,1769215577.988385,1769216275.2975893,1769219457.6062894,697.3092043399811,3879.6179044246674,0.8839746389124129,8.839746389124128,completed
job-fb0f21598de4,clusterA,DeepSpeech2,ARCTIC,2,1769215584.934276,1769216110.0612524,1769216274.473689,525.1269762516022,689.5394129753113,0.04567012131214142,0.9134024262428284,completed
job-d51f583488ac,clusterA,EfficientNetV2-S,MNIST,2,1769216029.5445735,1769217265.4920382,1769219777.886733,1235.9474647045135,3748.342159509659,0.6978874152236515,13.95774830447303,completed
job-d3bff5b09d09,clusterB,DenseNet-121,TinyImageNet,4,1769216990.7324765,1769234221.8080912,1769240671.8647456,17231.07561469078,23681.13226914406,1.7916824040147994,107.50094424088796,completed
job-abe2440c793f,clusterA,DeepSpeech2,ARCTIC,1,1769217101.8575382,1769217102.264068,1769217265.390722,0.4065296649932861,163.5331838130951,0.04531295948558384,0.45312959485583837,completed
job-617b78e57af0,clusterA,DenseNet-121,TinyImageNet,4,1769217493.0590005,1769239217.4604268,1769241319.374525,21724.401426553726,23826.315524578094,0.5838650272952186,23.354601091808746,completed
job-3aa9700332ec,clusterA,ResNet-18,CIFAR-100,2,1769217539.0268583,1769219718.4210787,1769220533.705056,2179.394220352173,2994.678197622299,0.226467771463924,4.52935542927848,completed
job-0aa9bf50d202,clusterB,EfficientNetV2-S,MNIST,1,1769217950.2895598,1769217951.287607,1769222702.4710183,0.9980471134185792,4752.181458473206,1.319773169822163,19.796597547332446,completed
job-105b55713587,clusterA,DeepSpeech2,ARCTIC,2,1769218128.7396832,1769219458.0827315,1769219717.886238,1329.3430485725405,1589.1465549468994,0.07216764072577159,1.4433528145154317,completed
job-d8920b3080a2,clusterB,DistilBERT,SST-2,2,1769218131.368621,1769220363.227793,1769224667.1346204,2231.8591718673706,6535.765999317169,1.1955296742916106,35.86589022874832,completed
