ts,cluster,queue_len,total_gpus,used_gpus,free_gpus,util,price_per_gpu_hour,speed_factor,energy_pressure,cost_norm,speed_norm
2025-12-22 20:55:10,clusterB,0,4,0,4,0.0,1.0,1.0,0.06754900000000001,1.0,1.0
2025-12-22 20:55:11,clusterA,0,4,0,4,0.0,1.0,1.0,0.0101,1.0,1.0
2025-12-22 20:55:11,clusterB,0,4,0,4,0.0,1.0,1.0,0.06754900000000001,1.0,1.0
2025-12-22 20:55:12,clusterA,0,4,0,4,0.0,1.0,1.0,0.0101,1.0,1.0
2025-12-22 20:55:12,clusterB,0,4,0,4,0.0,1.0,1.0,0.067465,1.0,1.0
2025-12-22 20:55:13,clusterA,0,4,0,4,0.0,1.0,1.0,0.0101,1.0,1.0
2025-12-22 20:55:13,clusterB,0,4,0,4,0.0,1.0,1.0,0.06755199999999999,1.0,1.0
2025-12-22 20:55:14,clusterA,0,4,0,4,0.0,1.0,1.0,0.0101,1.0,1.0
2025-12-22 20:55:14,clusterB,0,4,0,4,0.0,1.0,1.0,0.06755199999999999,1.0,1.0
2025-12-22 20:55:15,clusterA,0,4,0,4,0.0,1.0,1.0,0.0101,1.0,1.0
2025-12-22 20:55:15,clusterB,0,4,0,4,0.0,1.0,1.0,0.067336,1.0,1.0
2025-12-22 20:55:16,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:16,clusterB,0,4,0,4,0.0,1.0,1.0,0.067336,1.0,1.0
2025-12-22 20:55:17,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:17,clusterB,0,4,0,4,0.0,1.0,1.0,0.06721200000000001,1.0,1.0
2025-12-22 20:55:18,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:18,clusterB,0,4,0,4,0.0,1.0,1.0,0.067006,1.0,1.0
2025-12-22 20:55:19,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:19,clusterB,0,4,0,4,0.0,1.0,1.0,0.067006,1.0,1.0
2025-12-22 20:55:20,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:20,clusterB,0,4,0,4,0.0,1.0,1.0,0.066809,1.0,1.0
2025-12-22 20:55:21,clusterA,0,4,0,4,0.0,1.0,1.0,0.010178000000000001,1.0,1.0
2025-12-22 20:55:21,clusterB,0,4,0,4,0.0,1.0,1.0,0.066881,1.0,1.0
2025-12-22 20:55:22,clusterA,0,4,0,4,0.0,1.0,1.0,0.010178000000000001,1.0,1.0
2025-12-22 20:55:22,clusterB,0,4,0,4,0.0,1.0,1.0,0.06691300000000001,1.0,1.0
2025-12-22 20:55:23,clusterA,0,4,0,4,0.0,1.0,1.0,0.010178000000000001,1.0,1.0
2025-12-22 20:55:23,clusterB,0,4,0,4,0.0,1.0,1.0,0.067012,1.0,1.0
2025-12-22 20:55:24,clusterA,0,4,0,4,0.0,1.0,1.0,0.010178000000000001,1.0,1.0
2025-12-22 20:55:24,clusterB,0,4,0,4,0.0,1.0,1.0,0.067012,1.0,1.0
2025-12-22 20:55:25,clusterA,0,4,0,4,0.0,1.0,1.0,0.010178000000000001,1.0,1.0
2025-12-22 20:55:25,clusterB,0,4,0,4,0.0,1.0,1.0,0.067113,1.0,1.0
2025-12-22 20:55:26,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:26,clusterB,0,4,0,4,0.0,1.0,1.0,0.06711199999999999,1.0,1.0
2025-12-22 20:55:27,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:27,clusterB,0,4,0,4,0.0,1.0,1.0,0.067268,1.0,1.0
2025-12-22 20:55:28,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:28,clusterB,0,4,0,4,0.0,1.0,1.0,0.06737299999999999,1.0,1.0
2025-12-22 20:55:29,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:29,clusterB,0,4,0,4,0.0,1.0,1.0,0.06737299999999999,1.0,1.0
2025-12-22 20:55:30,clusterA,0,4,0,4,0.0,1.0,1.0,0.010091,1.0,1.0
2025-12-22 20:55:30,clusterB,0,4,0,4,0.0,1.0,1.0,0.067298,1.0,1.0
2025-12-22 20:55:31,clusterA,0,4,0,4,0.0,1.0,1.0,0.010135,1.0,1.0
2025-12-22 20:55:31,clusterB,0,4,0,4,0.0,1.0,1.0,0.0674,1.0,1.0
2025-12-22 20:55:32,clusterA,0,4,0,4,0.0,1.0,1.0,0.010135,1.0,1.0
