model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
gpt-4o,42,2,0,1,1,1.1327
gpt-4o,43,0,0,1,1,0.8237
gpt-4o,43,1,0,1,1,1.1998
gpt-4o,43,2,0,1,1,0.8370
gpt-4o,44,0,0,1,1,0.8202
gpt-4o,44,1,0,1,1,0.7168
gpt-4o,44,2,0,1,1,1.1243
gpt-4o,45,0,0,1,1,0.9230
gpt-4o,45,1,0,1,1,1.0226
gpt-4o,45,2,0,1,1,0.7182
gpt-4o,46,0,1,1,1,0.8060
gpt-4o,46,1,1,1,1,0.9370
gpt-4o,46,2,1,1,1,0.8176
gpt-4o,47,0,0,1,1,0.7174
gpt-4o,47,1,0,1,1,0.9187
gpt-4o,47,2,0,1,1,0.9224
gpt-4o,48,0,0,1,1,1.1569
gpt-4o,48,1,0,1,1,0.7872
gpt-4o,48,2,0,1,1,0.9196
gpt-4o,49,0,1,1,1,0.7194
gpt-4o,49,1,1,1,1,0.7703
gpt-4o,49,2,1,1,1,0.6608
gpt-4o,50,0,0,1,1,0.8014
gpt-4o,50,1,0,1,1,0.8693
gpt-4o,50,2,0,1,1,0.8889
gpt-4o,51,0,1,1,1,0.8176
gpt-4o,51,1,1,1,1,0.7064
gpt-4o,51,2,1,1,1,0.8286
gpt-4o,52,0,1,1,1,0.9209
gpt-4o,52,1,1,1,1,1.2280
gpt-4o,52,2,1,1,1,0.7149
gpt-4o,53,0,1,0,1,1.0290
gpt-4o,53,1,1,0,1,1.1224
gpt-4o,53,2,1,0,1,0.9937
gpt-4o,54,0,1,1,1,0.8766
gpt-4o,54,1,1,1,1,1.1496
gpt-4o,54,2,1,1,1,0.9228
gpt-4o,55,0,1,1,1,0.6948
gpt-4o,55,1,1,1,1,0.8965
gpt-4o,55,2,1,1,1,0.8908
gpt-4o,56,0,1,1,1,0.7459
gpt-4o,56,1,1,1,1,1.0263
gpt-4o,56,2,1,1,1,0.8145
gpt-4o,57,0,1,1,1,0.8198
gpt-4o,57,1,1,1,1,0.9316
gpt-4o,57,2,1,1,1,0.8881
gpt-4o,58,0,1,1,1,0.7414
gpt-4o,58,1,1,1,1,1.0637
gpt-4o,58,2,1,1,1,0.8866
gpt-4o,59,0,1,1,1,0.8135
gpt-4o,59,1,1,1,1,1.0285
gpt-4o,59,2,1,1,1,0.8141
gpt-4o,60,0,1,1,1,0.8187
gpt-4o,60,1,1,0,1,1.3298
gpt-4o,60,2,1,0,1,1.1620
gpt-4o,61,0,1,0,1,1.2849
gpt-4o,61,1,1,0,1,0.7280
gpt-4o,61,2,1,0,1,0.8175
gpt-4o,62,0,1,0,1,1.1277
gpt-4o,62,1,1,0,1,1.0226
gpt-4o,62,2,1,0,1,1.1281
gpt-4o,63,0,1,0,1,1.1245
gpt-4o,63,1,1,0,1,1.5350
gpt-4o,63,2,1,0,1,0.8224
gpt-4o,64,0,1,1,1,1.3277
gpt-4o,64,1,1,1,1,0.9231
gpt-4o,64,2,1,1,1,0.7148
gpt-4o,65,0,1,0,1,0.7167
gpt-4o,65,1,1,1,1,0.9212
gpt-4o,65,2,1,1,1,1.0237
gpt-4o,66,0,1,0,1,0.8205
gpt-4o,66,1,1,0,1,0.9231
gpt-4o,66,2,1,0,1,1.0234
gpt-4o,67,0,1,0,1,0.8489
gpt-4o,67,1,1,0,1,0.6858
gpt-4o,67,2,1,0,1,0.8454
gpt-4o,68,0,1,0,1,0.7905
gpt-4o,68,1,1,0,1,0.7235
gpt-4o,68,2,1,0,1,0.8838
gpt-4o,69,0,1,0,1,1.2488
gpt-4o,69,1,1,0,1,1.0365
gpt-4o,69,2,1,0,1,0.8213
gpt-4o,70,0,1,0,1,1.2240
gpt-4o,70,1,1,0,1,0.9258
gpt-4o,70,2,1,0,1,0.8145
gpt-4o,71,0,1,0,1,1.1259
gpt-4o,71,1,1,0,1,0.8192
gpt-4o,71,2,1,0,1,0.8178
gpt-4o,72,0,1,0,1,0.7191
gpt-4o,72,1,1,0,1,1.1887
