job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_ms,jct_ms,status
job-a62451b8dca6,clusterB,DeepSpeech2,ARCTIC,2,1763031060.4820867,1763033129.686612,1763033410.0338304,2069204,280347,completed
job-dfc71492fdfd,clusterB,DistilBERT,SST-2,2,1763031291.7335885,1763033415.1378906,,2123404,,running
job-dfc71492fdfd,clusterB,DistilBERT,SST-2,2,1763031291.7335885,1763033415.1378906,1763033417.8714972,2123404,2733,completed
job-9e8e22214dd2,clusterB,DistilBERT,SST-2,2,1763031681.3393674,1763033422.9504402,,1741611,,running
job-9e8e22214dd2,clusterB,DistilBERT,SST-2,2,1763031681.3393674,1763033422.9504402,1763033425.8960116,1741611,2945,completed
job-5f7198e2604a,clusterB,DeepSpeech2,ARCTIC,2,1763031803.9858966,1763033430.9766695,,1626990,,running
job-a475ef661780,clusterA,EfficientNetV2-S,MNIST,1,1763027660.315646,1763029897.3847861,1763033549.3888485,2237069,3652004,completed
job-b567586398ab,clusterA,DeepSpeech2,ARCTIC,2,1763032600.1830192,1763033554.469828,,954286,,running
job-b567586398ab,clusterA,DeepSpeech2,ARCTIC,2,1763032600.1830192,1763033554.469828,1763033558.7793665,954286,4309,completed
job-c2a3bcb8bae1,clusterA,DistilBERT,SST-2,1,1763032682.9321396,1763033563.8301666,,880898,,running
job-5f7198e2604a,clusterB,DeepSpeech2,ARCTIC,2,1763031803.9858966,1763033430.9766695,1763033603.652231,1626990,172675,completed
job-65dbbc73ed07,clusterB,DistilBERT,SST-2,2,1763033079.799084,1763033608.7499118,,528950,,running
job-65dbbc73ed07,clusterB,DistilBERT,SST-2,2,1763033079.799084,1763033608.7499118,1763033609.0709336,528950,321,completed
job-a25ea66d4552,clusterA,DistilBERT,SST-2,1,1763030963.8571057,1763030981.4728181,1763034868.2894595,17615,3886816,completed
job-b693da006c27,clusterA,DeepSpeech2,ARCTIC,1,1763034932.6701753,1763034933.1851695,,514,,running
job-b693da006c27,clusterA,DeepSpeech2,ARCTIC,1,1763034932.6701753,1763034933.1851695,1763034938.3274279,514,5142,completed
job-8dd037df5fd6,clusterA,DenseNet-121,TinyImageNet,2,1763034943.7923899,1763034944.2283869,,435,,running
job-c2a3bcb8bae1,clusterA,DistilBERT,SST-2,1,1763032682.9321396,1763033563.8301666,1763035215.557933,880898,1651727,completed
job-297a6b7f9031,clusterB,DistilBERT,SST-2,2,1763024014.8019702,1763025147.1331785,1763035349.0105355,1132331,10201877,completed
job-30df1cb66639,clusterB,DeepSpeech2,ARCTIC,4,1763035596.555215,1763035596.9834485,,428,,running
job-30df1cb66639,clusterB,DeepSpeech2,ARCTIC,4,1763035596.555215,1763035596.9834485,1763035796.0536284,428,199070,completed
job-ba4361eb580c,clusterB,DistilBERT,SST-2,2,1763037008.013543,1763037008.5123637,,498,,running
job-797579d38df2,clusterB,DenseNet-121,TinyImageNet,1,1763037733.332772,1763037734.3003209,,967,,running
